Small_molecule	Large_molecule	Molecular_transformation	Correlation_index
C9H9O2N	C8H8O4	C-1H-1O2N-1	1
C9H9O2N	C7H7O4N	C-2H-2O2	1
C9H11O2N	C8H14O4	C-1H3O2N-1	1
C9H10O3	C8H14O4	C-1H4O1	1
C9H16O3	C8H14O4	C-1H-2O1	1
C9H9O2N	C10H9O2N	C1	1
C8H8O4	C10H9O2N	C2H1O-2N1	1
C8H12O4	C7H12O5	C-1O1	1
C8H14O4	C7H12O5	C-1H-2O1	1
C9H10O3	C9H8O4	H-2O1	1
C8H8O4	C9H8O4	C1	1
C10H9O2N	C9H8O4	C-1H-1O2N-1	1
C8H12O4	C10H12O3	C2O-1	1
C10H9O2N	C10H12O3	H3O1N-1	1
C7H7O4N	C8H7O4N	C1	1
C8H6O4	C8H6O5	O1	1
C7H7O4N	C8H6O5	C1H-1O1N-1	1
C9H10O3	C9H10O4	O1	1
C8H8O4	C9H10O4	C1H2	1
C7H7O4N	C9H10O4	C2H3N-1	1
C10H9O2N	C9H10O4	C-1H1O2N-1	1
C9H8O4	C9H10O4	H2	1
C8H7O4N	C8H9O4N	H2	1
C9H8O4	C8H8O5	C-1O1	1
C9H10O4	C8H8O5	C-1H-2O1	1
C9H11O2N	C9H12O4	H1O2N-1	1
C9H10O3	C9H12O4	H2O1	1
C8H14O4	C9H12O4	C1H-2	1
C7H12O5	C9H12O4	C2O-1	1
C9H10O4	C9H12O4	H2	1
C9H16O3	C10H16O3	C1	1
C8H14O4	C10H16O3	C2H2O-1	1
C7H7O4N	C8H11O4N	C1H4	1
C8H9O4N	C8H11O4N	H2	1
C8H6O4	C8H10O5	H4O1	1
C7H7O4N	C8H10O5	C1H3O1N-1	1
C8H12O4	C8H10O5	H-2O1	1
C9H11O2N	C9H14O4	H3O2N-1	1
C9H10O3	C9H14O4	H4O1	1
C9H16O3	C9H14O4	H-2O1	1
C8H15O3N	C9H14O4	C1H-1O1N-1	1
C10H12O3	C9H14O4	C-1H2O1	1
C9H16O3	C10H18O3	C1H2	1
C8H15O3N	C10H18O3	C2H3N-1	1
C9H11O2N	C8H13O4N	C-1H2O2	1
C8H12O4	C8H13O4N	H1N1	1
C8H12O4	C8H12O5	O1	1
C8H10O5	C8H12O5	H2	1
C9H14O4	C8H12O5	C-1H-2O1	1
C10H18O3	C9H16O4	C-1H-2O1	1
C7H7O4N	C10H20O3	C3H13O-1N-1	1
C10H18O3	C10H20O3	H2	1
C9H8O4	C10H7O3N	C1H-1O-1N1	1
C8H8O5	C10H7O3N	C2H-1O-2N1	1
C9H10O3	C11H11O2N	C2H1O-1N1	1
C8H14O4	C11H11O2N	C3H-3O-2N1	1
C10H9O2N	C11H11O2N	C1H2	1
C9H10O4	C11H11O2N	C2H1O-2N1	1
C9H12O4	C11H11O2N	C2H-1O-2N1	1
C8H16O3N2	C8H15O4N	H-1O1N-1	1
C9H11O2N	C8H14O5	C-1H3O3N-1	1
C8H12O4	C8H14O5	H2O1	1
C9H10O4	C8H14O5	C-1H4O1	1
C8H11O4N	C8H14O5	H3O1N-1	1
C9H14O4	C8H14O5	C-1O1	1
C9H16O4	C8H14O5	C-1H-2O1	1
C8H15O4N	C8H14O5	H-1O1N-1	1
C9H9O2N	C10H9O3N	C1O1	1
C7H8O3S	C7H12O4S	H4O1	1
C7H13O3NS	C7H12O4S	H-1O1N-1	1
C9H11O2N	C10H11O3N	C1O1	1
C9H10O3	C10H11O3N	C1H1N1	1
C7H8O3S	C10H11O3N	C3H3N1S-1	1
C8H9O4N	C10H11O3N	C2H2O-1	1
C9H12O4	C10H11O3N	C1H-1O-1N1	1
C8H11O4N	C10H11O3N	C2O-1	1
C11H11O2N	C10H11O3N	C-1O1	1
C7H12O4S	C10H11O3N	C3H-1O-1N1S-1	1
C8H6O4	C10H10O4	C2H4	1
C8H10O5	C10H10O4	C2O-1	1
C10H11O3N	C10H10O4	H-1O1N-1	1
C9H9O2N	C11H14O3	C2H5O1N-1	1
C9H14O4	C11H14O3	C2O-1	1
C8H6O4	C13H22O	C5H16O-3	1
C7H7O4N	C13H22O	C6H15O-3N-1	1
C9H8O4	C13H22O	C4H14O-3	1
C9H10O4	C13H22O	C4H12O-3	1
C10H7O3N	C13H22O	C3H15O-2N-1	1
C9H9O2N	C9H9O4N	O2	1
C8H8O4	C9H9O4N	C1H1N1	1
C10H9O2N	C9H9O4N	C-1O2	1
C9H8O4	C9H9O4N	H1N1	1
C10H20O3	C9H9O4N	C-1H-11O1N1	1
C11H11O2N	C9H9O4N	C-2H-2O2	1
C10H11O3N	C9H9O4N	C-1H-2O1	1
C8H12O4	C10H13O3N	C2H1O-1N1	1
C8H14O4	C10H13O3N	C2H-1O-1N1	1
C10H9O2N	C10H13O3N	H4O1	1
C7H12O5	C10H13O3N	C3H1O-2N1	1
C10H12O3	C10H13O3N	H1N1	1
C8H11O4N	C10H13O3N	C2H2O-1	1
C9H14O4	C10H13O3N	C1H-1O-1N1	1
C11H11O2N	C10H13O3N	C-1H2O1	1
C10H11O3N	C10H13O3N	H2	1
C8H6O4	C9H8O5	C1H2O1	1
C9H10O3	C9H8O5	H-2O2	1
C8H7O4N	C9H8O5	C1H1O1N-1	1
C10H7O3N	C9H8O5	C-1H1O2N-1	1
C10H10O4	C9H8O5	C-1H-2O1	1
C9H9O4N	C9H8O5	H-1O1N-1	1
C9H11O2N	C10H12O4	C1H1O2N-1	1
C9H10O3	C10H12O4	C1H2O1	1
C10H12O3	C10H12O4	O1	1
C8H10O5	C10H12O4	C2H2O-1	1
C9H14O4	C10H12O4	C1H-2	1
C8H12O5	C10H12O4	C2O-1	1
C10H11O3N	C10H12O4	H1O1N-1	1
C10H10O4	C10H12O4	H2	1
C11H14O3	C10H12O4	C-1H-2O1	1
C10H13O3N	C10H12O4	H-1O1N-1	1
C8H12O5	C9H12O3N2	C1O-2N2	1
C9H11O2N	C11H16O3	C2H5O1N-1	1
C9H14O4	C11H16O3	C2H2O-1	1
C9H9O2N	C12H20O2	C3H11N-1	1
C10H18O3	C12H20O2	C2H2O-1	1
C10H20O3	C12H20O2	C2O-1	1
C7H8O3S	C8H7O3NS	C1H-1N1	1
C7H5O3NS	C8H7O3NS	C1H2	1
C8H6O4	C8H7O5N	H1O1N1	1
C8H7O4N	C8H7O5N	O1	1
C8H6O5	C8H7O5N	H1N1	1
C10H18O3	C8H7O5N	C-2H-11O2N1	1
C13H22O	C8H7O5N	C-5H-15O4N1	1
C9H10O3	C9H11O4N	H1O1N1	1
C8H12O4	C9H11O4N	C1H-1N1	1
C10H9O2N	C9H11O4N	C-1H2O2	1
C7H12O5	C9H11O4N	C2H-1O-1N1	1
C9H10O4	C9H11O4N	H1N1	1
C8H9O4N	C9H11O4N	C1H2	1
C8H11O4N	C9H11O4N	C1	1
C10H7O3N	C9H11O4N	C-1H4O1	1
C10H11O3N	C9H11O4N	C-1O1	1
C13H22O	C9H11O4N	C-4H-11O3N1	1
C10H13O3N	C9H11O4N	C-1H-2O1	1
C9H12O3N2	C9H11O4N	H-1O1N-1	1
C8H14O4	C10H15O3N	C2H1O-1N1	1
C10H13O3N	C10H15O3N	H2	1
C9H9O2N	C9H10O5	H1O3N-1	1
C10H9O2N	C9H10O5	C-1H1O3N-1	1
C8H9O4N	C9H10O5	C1H1O1N-1	1
C8H11O4N	C9H10O5	C1H-1O1N-1	1
C10H9O3N	C9H10O5	C-1H1O2N-1	1
C10H11O3N	C9H10O5	C-1H-1O2N-1	1
C9H11O4N	C9H10O5	H-1O1N-1	1
C9H12O3N2	C8H10O4N2	C-1H-2O1	1
C9H9O2N	C10H14O4	C1H5O2N-1	1
C10H9O2N	C10H14O4	H5O2N-1	1
C9H16O4	C10H14O4	C1H-2	1
C8H14O5	C10H14O4	C2O-1	1
C11H14O3	C10H14O4	C-1O1	1
C9H16O4	C11H18O3	C2H2O-1	1
C10H20O3	C11H18O3	C1H-2	1
C11H16O3	C11H18O3	H2	1
C7H7O4N	C8H9O5N	C1H2O1	1
C8H7O4N	C8H9O5N	H2O1	1
C8H8O5	C8H9O5N	H1N1	1
C8H11O4N	C8H9O5N	H-2O1	1
C10H20O3	C8H9O5N	C-2H-11O2N1	1
C13H22O	C8H9O5N	C-5H-13O4N1	1
C12H20O2	C8H9O5N	C-4H-11O3N1	1
C8H7O5N	C8H9O5N	H2	1
C8H10O4N2	C8H9O5N	H-1O1N-1	1
C8H12O4	C9H13O4N	C1H1N1	1
C8H14O4	C9H13O4N	C1H-1N1	1
C8H9O4N	C9H13O4N	C1H4	1
C8H11O4N	C9H13O4N	C1H2	1
C10H11O3N	C9H13O4N	C-1H2O1	1
C10H13O3N	C9H13O4N	C-1O1	1
C9H12O3N2	C9H13O4N	H1O1N-1	1
C9H11O4N	C9H13O4N	H2	1
C10H15O3N	C9H13O4N	C-1H-2O1	1
C8H6O4	C8H8O6	H2O2	1
C8H7O4N	C8H8O6	H1O2N-1	1
C8H6O5	C8H8O6	H2O1	1
C8H10O5	C8H8O6	H-2O1	1
C10H20O3	C8H8O6	C-2H-12O3	1
C10H10O4	C8H8O6	C-2H-2O2	1
C8H7O5N	C8H8O6	H1O1N-1	1
C8H9O5N	C8H8O6	H-1O1N-1	1
C9H11O2N	C9H12O5	H1O3N-1	1
C9H10O3	C9H12O5	H2O2	1
C9H16O3	C9H12O5	H-4O2	1
C7H12O5	C9H12O5	C2	1
C9H8O4	C9H12O5	H4O1	1
C9H10O4	C9H12O5	H2O1	1
C8H8O5	C9H12O5	C1H4	1
C9H12O4	C9H12O5	O1	1
C8H13O4N	C9H12O5	C1H-1O1N-1	1
C11H11O2N	C9H12O5	C-2H1O3N-1	1
C10H11O3N	C9H12O5	C-1H1O2N-1	1
C10H13O3N	C9H12O5	C-1H-1O2N-1	1
C9H11O4N	C9H12O5	H1O1N-1	1
C9H16O3	C10H16O4	C1O1	1
C8H15O3N	C10H16O4	C2H1O1N-1	1
C8H14O4	C10H16O4	C2H2	1
C9H12O4	C10H16O4	C1H4	1
C10H18O3	C10H16O4	H-2O1	1
C9H16O4	C10H16O4	C1	1
C11H14O3	C10H16O4	C-1H2O1	1
C10H14O4	C10H16O4	H2	1
C10H16O3	C11H20O3	C1H4	1
C12H20O2	C11H20O3	C-1O1	1
C11H18O3	C11H20O3	H2	1
C10H9O2N	C12H24O2	C2H15N-1	1
C8H9O4N	C12H24O2	C4H15O-2N-1	1
C8H11O4N	C12H24O2	C4H13O-2N-1	1
C9H9O4N	C12H24O2	C3H15O-2N-1	1
C9H8O5	C12H24O2	C3H16O-3	1
C9H12O3N2	C12H24O2	C3H12O-1N-2	1
C9H11O4N	C12H24O2	C3H13O-2N-1	1
C9H10O5	C12H24O2	C3H14O-3	1
C9H11O2N	C8H11O3NS	C-1O1S1	1
C8H10O3S	C8H11O3NS	H1N1	1
C7H13O3NS	C8H11O3NS	C1H-2	1
C7H12O4S	C8H11O3NS	C1H-1O-1N1	1
C9H9O2N	C8H11O5N	C-1H2O3	1
C7H7O4N	C8H11O5N	C1H4O1	1
C8H7O4N	C8H11O5N	H4O1	1
C8H9O4N	C8H11O5N	H2O1	1
C8H13O4N	C8H11O5N	H-2O1	1
C8H9O5N	C8H11O5N	H2	1
C8H14O4	C9H15O4N	C1H1N1	1
C9H14O4	C9H15O4N	H1N1	1
C10H11O3N	C9H15O4N	C-1H4O1	1
C9H9O2N	C8H10O4S	C-1H1O2N-1S1	1
C8H6O4	C8H10O6	H4O2	1
C7H7O4N	C8H10O6	C1H3O2N-1	1
C8H12O4	C8H10O6	H-2O2	1
C8H6O5	C8H10O6	H4O1	1
C8H10O5	C8H10O6	O1	1
C8H12O5	C8H10O6	H-2O1	1
C10H12O4	C8H10O6	C-2H-2O2	1
C8H7O5N	C8H10O6	H3O1N-1	1
C8H9O5N	C8H10O6	H1O1N-1	1
C8H8O6	C8H10O6	H2	1
C9H9O2N	C9H14O5	H5O3N-1	1
C8H6O4	C9H14O5	C1H8O1	1
C9H10O3	C9H14O5	H4O2	1
C9H16O3	C9H14O5	H-2O2	1
C10H12O3	C9H14O5	C-1H2O2	1
C8H11O4N	C9H14O5	C1H3O1N-1	1
C9H14O4	C9H14O5	O1	1
C8H13O4N	C9H14O5	C1H1O1N-1	1
C9H16O4	C9H14O5	H-2O1	1
C8H15O4N	C9H14O5	C1H-1O1N-1	1
C8H14O5	C9H14O5	C1	1
C7H12O4S	C9H14O5	C2H2O1S-1	1
C10H11O3N	C9H14O5	C-1H3O2N-1	1
C10H10O4	C9H14O5	C-1H4O1	1
C10H13O3N	C9H14O5	C-1H1O2N-1	1
C10H12O4	C9H14O5	C-1H2O1	1
C11H16O3	C9H14O5	C-2H-2O2	1
C9H11O4N	C9H14O5	H3O1N-1	1
C10H15O3N	C9H14O5	C-1H-1O2N-1	1
C10H14O4	C9H14O5	C-1O1	1
C9H13O4N	C9H14O5	H1O1N-1	1
C10H16O4	C9H14O5	C-1H-2O1	1
C9H15O4N	C9H14O5	H-1O1N-1	1
C9H10O3	C10H18O4	C1H8O1	1
C7H7O4N	C10H18O4	C3H11N-1	1
C8H7O4N	C10H18O4	C2H11N-1	1
C9H16O4	C10H18O4	C1H2	1
C10H20O3	C10H18O4	H-2O1	1
C8H15O4N	C10H18O4	C2H3N-1	1
C11H16O3	C10H18O4	C-1H2O1	1
C12H20O2	C10H18O4	C-2H-2O2	1
C8H9O4N	C11H22O3	C3H13O-1N-1	1
C12H20O2	C11H22O3	C-1H2O1	1
C11H20O3	C11H22O3	H2	1
C12H24O2	C11H22O3	C-1H-2O1	1
C9H9O2N	C11H9O3N	C2O1	1
C8H6O4	C11H9O3N	C3H3O-1N1	1
C9H10O3	C11H9O3N	C2H-1N1	1
C10H9O2N	C11H9O3N	C1O1	1
C9H8O4	C11H9O3N	C2H1O-1N1	1
C9H10O4	C11H9O3N	C2H-1O-1N1	1
C8H8O5	C11H9O3N	C3H1O-2N1	1
C8H12O5	C11H9O3N	C3H-3O-2N1	1
C10H20O3	C11H9O3N	C1H-11N1	1
C10H7O3N	C11H9O3N	C1H2	1
C11H11O2N	C11H9O3N	H-2O1	1
C10H10O4	C11H9O3N	C1H-1O-1N1	1
C13H22O	C11H9O3N	C-2H-13O2N1	1
C9H9O4N	C11H9O3N	C2O-1	1
C8H10O4N2	C11H9O3N	C3H-1O-1N-1	1
C8H8O6	C11H9O3N	C3H1O-3N1	1
C8H10O4S	C11H9O3N	C3H-1O-1N1S-1	1
C8H10O6	C11H9O3N	C3H-1O-3N1	1
C8H12O4	C8H13O5N	H1O1N1	1
C8H9O4N	C8H13O5N	H4O1	1
C8H11O4N	C8H13O5N	H2O1	1
C9H12O3N2	C8H13O5N	C-1H1O2N-1	1
C9H11O4N	C8H13O5N	C-1H2O1	1
C10H15O3N	C8H13O5N	C-2H-2O2	1
C9H13O4N	C8H13O5N	C-1O1	1
C12H24O2	C8H13O5N	C-4H-11O3N1	1
C9H16O3	C9H17O4N	H1O1N1	1
C10H13O3N	C9H17O4N	C-1H4O1	1
C9H15O4N	C9H17O4N	H2	1
C9H10O3	C8H12O6	C-1H2O3	1
C7H7O4N	C8H12O6	C1H5O2N-1	1
C8H12O4	C8H12O6	O2	1
C8H7O4N	C8H12O6	H5O2N-1	1
C9H10O4	C8H12O6	C-1H2O2	1
C8H9O4N	C8H12O6	H3O2N-1	1
C8H11O4N	C8H12O6	H1O2N-1	1
C8H10O5	C8H12O6	H2O1	1
C8H14O5	C8H12O6	H-2O1	1
C10H9O3N	C8H12O6	C-2H3O3N-1	1
C9H11O4N	C8H12O6	C-1H1O2N-1	1
C9H10O5	C8H12O6	C-1H2O1	1
C10H14O4	C8H12O6	C-2H-2O2	1
C8H9O5N	C8H12O6	H3O1N-1	1
C9H13O4N	C8H12O6	C-1H-1O2N-1	1
C8H11O5N	C8H12O6	H1O1N-1	1
C8H10O6	C8H12O6	H2	1
C8H13O5N	C8H12O6	H-1O1N-1	1
C9H11O2N	C11H12O2N2	C2H1N1	1
C10H12O4	C11H12O2N2	C1O-2N2	1
C8H11O5N	C11H12O2N2	C3H1O-3N1	1
C8H12O4	C9H16O5	C1H4O1	1
C8H15O3N	C9H16O5	C1H1O2N-1	1
C9H14O4	C9H16O5	H2O1	1
C8H12O5	C9H16O5	C1H4	1
C10H12O4	C9H16O5	C-1H4O1	1
C10H16O4	C9H16O5	C-1O1	1
C9H14O5	C9H16O5	H2	1
C11H9O3N	C9H16O5	C-2H7O2N-1	1
C7H7O4N	C10H20O4	C3H13N-1	1
C8H9O4N	C10H20O4	C2H11N-1	1
C10H16O3	C10H20O4	H4O1	1
C11H18O3	C10H20O4	C-1H2O1	1
C10H18O4	C10H20O4	H2	1
C8H8O4	C10H7O4N	C2H-1N1	1
C10H9O2N	C10H7O4N	H-2O2	1
C10H20O3	C10H7O4N	H-13O1N1	1
C10H9O3N	C10H7O4N	H-2O1	1
C9H9O4N	C10H7O4N	C1H-2	1
C9H8O5	C10H7O4N	C1H-1O-1N1	1
C12H20O2	C10H7O4N	C-2H-13O2N1	1
C11H18O3	C10H7O4N	C-1H-11O1N1	1
C8H8O6	C10H7O4N	C2H-1O-2N1	1
C11H9O3N	C10H7O4N	C-1H-2O1	1
C9H10O3	C11H11O3N	C2H1N1	1
C8H8O4	C11H11O3N	C3H3O-1N1	1
C10H9O2N	C11H11O3N	C1H2O1	1
C7H12O5	C11H11O3N	C4H-1O-2N1	1
C9H10O4	C11H11O3N	C2H1O-1N1	1
C9H12O4	C11H11O3N	C2H-1O-1N1	1
C10H7O3N	C11H11O3N	C1H4	1
C11H11O2N	C11H11O3N	O1	1
C10H11O3N	C11H11O3N	C1	1
C13H22O	C11H11O3N	C-2H-11O2N1	1
C9H9O4N	C11H11O3N	C2H2O-1	1
C10H13O3N	C11H11O3N	C1H-2	1
C9H11O4N	C11H11O3N	C2O-1	1
C9H12O5	C11H11O3N	C2H-1O-2N1	1
C11H9O3N	C11H11O3N	H2	1
C7H13O3NS	C8H15O3NS	C1H2	1
C9H9O2N	C11H10O4	C2H1O2N-1	1
C8H6O4	C11H10O4	C3H4	1
C9H10O3	C11H10O4	C2O1	1
C9H8O4	C11H10O4	C2H2	1
C9H10O4	C11H10O4	C2	1
C8H10O5	C11H10O4	C3O-1	1
C10H7O3N	C11H10O4	C1H3O1N-1	1
C10H9O3N	C11H10O4	C1H1O1N-1	1
C10H11O3N	C11H10O4	C1H-1O1N-1	1
C10H10O4	C11H10O4	C1	1
C13H22O	C11H10O4	C-2H-12O3	1
C11H9O3N	C11H10O4	H1O1N-1	1
C11H11O3N	C11H10O4	H-1O1N-1	1
C9H12O3S	C8H14O4S	C-1H2O1	1
C9H10O3	C12H14O3	C3H4	1
C8H15O3N	C12H14O3	C4H-1N-1	1
C8H14O4	C12H14O3	C4O-1	1
C11H11O2N	C12H14O3	C1H3O1N-1	1
C10H11O3N	C12H14O3	C2H3N-1	1
C9H15O4N	C12H14O3	C3H-1O-1N-1	1
C10H9O2N	C10H9O4N	O2	1
C8H9O4N	C10H9O4N	C2	1
C8H10O5	C10H9O4N	C2H-1O-1N1	1
C10H11O3N	C10H9O4N	H-2O1	1
C12H20O2	C10H9O4N	C-2H-11O2N1	1
C8H7O3NS	C10H9O4N	C2H2O1S-1	1
C8H7O5N	C10H9O4N	C2H2O-1	1
C9H11O4N	C10H9O4N	C1H-2	1
C9H10O5	C10H9O4N	C1H-1O-1N1	1
C8H8O6	C10H9O4N	C2H1O-2N1	1
C11H20O3	C10H9O4N	C-1H-11O1N1	1
C12H24O2	C10H9O4N	C-2H-15O2N1	1
C8H10O6	C10H9O4N	C2H-1O-2N1	1
C11H22O3	C10H9O4N	C-1H-13O1N1	1
C7H12O5	C11H13O3N	C4H1O-2N1	1
C9H12O4	C11H13O3N	C2H1O-1N1	1
C8H10O3S	C11H13O3N	C3H3N1S-1	1
C9H14O4	C11H13O3N	C2H-1O-1N1	1
C11H11O2N	C11H13O3N	H2O1	1
C10H11O3N	C11H13O3N	C1H2	1
C10H13O3N	C11H13O3N	C1	1
C9H11O4N	C11H13O3N	C2H2O-1	1
C9H12O5	C11H13O3N	C2H1O-2N1	1
C9H14O5	C11H13O3N	C2H-1O-2N1	1
C11H11O3N	C11H13O3N	H2	1
C8H6O4	C10H8O5	C2H2O1	1
C9H8O4	C10H8O5	C1O1	1
C10H12O3	C10H8O5	H-4O2	1
C8H7O4N	C10H8O5	C2H1O1N-1	1
C8H8O5	C10H8O5	C2	1
C10H7O3N	C10H8O5	H1O2N-1	1
C10H10O4	C10H8O5	H-2O1	1
C13H22O	C10H8O5	C-3H-14O4	1
C9H9O4N	C10H8O5	C1H-1O1N-1	1
C9H8O5	C10H8O5	C1	1
C12H20O2	C10H8O5	C-2H-12O3	1
C10H7O4N	C10H8O5	H1O1N-1	1
C11H10O4	C10H8O5	C-1H-2O1	1
C10H9O4N	C10H8O5	H-1O1N-1	1
C7H8O3S	C7H12O5S	H4O2	1
C8H12O4	C7H12O5S	C-1O1S1	1
C7H12O4S	C7H12O5S	O1	1
C8H11O3NS	C7H12O5S	C-1H1O2N-1	1
C8H10O4S	C7H12O5S	C-1H2O1	1
C9H11O2N	C11H12O4	C2H1O2N-1	1
C8H8O4	C11H12O4	C3H4	1
C9H12O4	C11H12O4	C2	1
C10H11O3N	C11H12O4	C1H1O1N-1	1
C10H12O4	C11H12O4	C1	1
C9H12O5	C11H12O4	C2O-1	1
C8H15O3N	C12H16O3	C4H1N-1	1
C10H12O3	C12H16O3	C2H4	1
C10H16O3	C12H16O3	C2	1
C10H13O3N	C12H16O3	C2H3N-1	1
C10H16O4	C12H16O3	C2O-1	1
C12H14O3	C12H16O3	H2	1
C9H11O2N	C10H11O4N	C1O2	1
C8H6O4	C10H11O4N	C2H5N1	1
C8H7O4N	C10H11O4N	C2H4	1
C8H9O4N	C10H11O4N	C2H2	1
C9H12O4	C10H11O4N	C1H-1N1	1
C8H10O5	C10H11O4N	C2H1O-1N1	1
C8H12O5	C10H11O4N	C2H-1O-1N1	1
C10H11O3N	C10H11O4N	O1	1
C10H10O4	C10H11O4N	H1N1	1
C9H12O5	C10H11O4N	C1H-1O-1N1	1
C8H11O5N	C10H11O4N	C2O-1	1
C8H10O6	C10H11O4N	C2H1O-2N1	1
C11H12O2N2	C10H11O4N	C-1H-1O2N-1	1
C7H12O5S	C10H11O4N	C3H-1O-1N1S-1	1
C9H10O3	C11H15O3N	C2H5N1	1
C9H16O3	C11H15O3N	C2H-1N1	1
C8H15O3N	C11H15O3N	C3	1
C9H16O4	C11H15O3N	C2H-1O-1N1	1
C11H11O2N	C11H15O3N	H4O1	1
C11H14O3	C11H15O3N	H1N1	1
C10H16O4	C11H15O3N	C1H-1O-1N1	1
C9H15O4N	C11H15O3N	C2O-1	1
C9H14O5	C11H15O3N	C2H1O-2N1	1
C11H12O2N2	C11H15O3N	H3O1N-1	1
C9H16O5	C11H15O3N	C2H-1O-2N1	1
C11H13O3N	C11H15O3N	H2	1
C8H6O4	C9H6O6	C1O2	1
C8H6O5	C9H6O6	C1O1	1
C9H8O5	C9H6O6	H-2O1	1
C8H7O5N	C9H6O6	C1H-1O1N-1	1
C11H18O3	C9H6O6	C-2H-12O3	1
C8H8O6	C9H6O6	C1H-2	1
C8H6O4	C10H10O5	C2H4O1	1
C8H6O5	C10H10O5	C2H4	1
C8H10O5	C10H10O5	C2	1
C10H9O3N	C10H10O5	H1O2N-1	1
C10H10O4	C10H10O5	O1	1
C10H12O4	C10H10O5	H-2O1	1
C8H7O5N	C10H10O5	C2H3N-1	1
C8H8O6	C10H10O5	C2H2O-1	1
C8H10O6	C10H10O5	C2O-1	1
C11H9O3N	C10H10O5	C-1H1O2N-1	1
C10H7O4N	C10H10O5	H3O1N-1	1
C11H10O4	C10H10O5	C-1O1	1
C10H9O4N	C10H10O5	H1O1N-1	1
C10H11O4N	C10H10O5	H-1O1N-1	1
C8H14O4	C7H14O5S	C-1O1S1	1
C7H13O3NS	C7H14O5S	H1O2N-1	1
C8H10O4S	C7H14O5S	C-1H4O1	1
C8H15O3NS	C7H14O5S	C-1H-1O2N-1	1
C7H12O5S	C7H14O5S	H2	1
C8H15O3N	C8H10O3N4	H-5N3	1
C9H9O2N	C11H14O4	C2H5O2N-1	1
C8H12O4	C11H14O4	C3H2	1
C9H14O4	C11H14O4	C2	1
C10H11O3N	C11H14O4	C1H3O1N-1	1
C11H14O3	C11H14O4	O1	1
C10H12O4	C11H14O4	C1H2	1
C10H14O4	C11H14O4	C1	1
C10H16O4	C11H14O4	C1H-2	1
C9H14O5	C11H14O4	C2O-1	1
C11H15O3N	C11H14O4	H-1O1N-1	1
C8H13O4N	C10H14O3N2	C2H1O-1N1	1
C9H14O5	C10H14O3N2	C1O-2N2	1
C8H13O5N	C10H14O3N2	C2H1O-2N1	1
C11H12O2N2	C10H14O3N2	C-1H2O1	1
C7H14O5S	C10H14O3N2	C3O-2N2S-1	1
C8H12O4	C12H18O3	C4H6O-1	1
C9H16O3	C12H18O3	C3H2	1
C10H16O3	C12H18O3	C2H2	1
C10H7O3N	C12H18O3	C2H11N-1	1
C11H16O3	C12H18O3	C1H2	1
C10H15O3N	C12H18O3	C2H3N-1	1
C11H18O3	C12H18O3	C1	1
C11H20O3	C12H18O3	C1H-2	1
C7H8O3S	C9H9O3NS	C2H1N1	1
C7H5O3NS	C9H9O3NS	C2H4	1
C8H10O4S	C9H9O3NS	C1H-1O-1N1	1
C7H7O4N	C9H9O5N	C2H2O1	1
C8H7O4N	C9H9O5N	C1H2O1	1
C8H9O4N	C9H9O5N	C1O1	1
C9H8O5	C9H9O5N	H1N1	1
C8H7O5N	C9H9O5N	C1H2	1
C8H9O5N	C9H9O5N	C1	1
C8H11O5N	C9H9O5N	C1H-2	1
C10H11O4N	C9H9O5N	C-1H-2O1	1
C9H9O2N	C10H13O4N	C1H4O2	1
C8H8O4	C10H13O4N	C2H5N1	1
C10H9O2N	C10H13O4N	H4O2	1
C10H12O3	C10H13O4N	H1O1N1	1
C9H14O4	C10H13O4N	C1H-1N1	1
C8H12O5	C10H13O4N	C2H1O-1N1	1
C11H11O2N	C10H13O4N	C-1H2O2	1
C10H11O3N	C10H13O4N	H2O1	1
C9H9O4N	C10H13O4N	C1H4	1
C10H12O4	C10H13O4N	H1N1	1
C9H12O3N2	C10H13O4N	C1H1O1N-1	1
C10H15O3N	C10H13O4N	H-2O1	1
C8H10O4N2	C10H13O4N	C2H3N-1	1
C9H13O4N	C10H13O4N	C1	1
C12H24O2	C10H13O4N	C-2H-11O2N1	1
C8H11O3NS	C10H13O4N	C2H2O1S-1	1
C9H14O5	C10H13O4N	C1H-1O-1N1	1
C11H9O3N	C10H13O4N	C-1H4O1	1
C11H12O2N2	C10H13O4N	C-1H1O2N-1	1
C11H11O3N	C10H13O4N	C-1H2O1	1
C9H9O2N	C11H17O3N	C2H8O1	1
C10H9O2N	C11H17O3N	C1H8O1	1
C10H18O3	C11H17O3N	C1H-1N1	1
C9H16O4	C11H17O3N	C2H1O-1N1	1
C11H16O3	C11H17O3N	H1N1	1
C10H15O3N	C11H17O3N	C1H2	1
C9H15O4N	C11H17O3N	C2H2O-1	1
C9H17O4N	C11H17O3N	C2O-1	1
C11H15O3N	C11H17O3N	H2	1
C8H6O4	C9H8O6	C1H2O2	1
C9H8O4	C9H8O6	O2	1
C8H7O4N	C9H8O6	C1H1O2N-1	1
C9H10O4	C9H8O6	H-2O2	1
C8H8O5	C9H8O6	C1O1	1
C9H12O4	C9H8O6	H-4O2	1
C10H16O3	C9H8O6	C-1H-8O3	1
C10H7O3N	C9H8O6	C-1H1O3N-1	1
C13H22O	C9H8O6	C-4H-14O5	1
C9H8O5	C9H8O6	O1	1
C9H10O5	C9H8O6	H-2O1	1
