Molecular_transformation	Frequnecy
C-1H-10O1N2	297
C-1H-10O2N2	290
C-1H-10O3N2	249
C-1H-10O4	255
C-1H-10O4N2	181
C-1H-11O1N1	312
C-1H-11O1N3	140
C-1H-11O3N1	267
C-1H-11O4N1	207
C-1H-11O5N1	149
C-1H-12O1N2	243
C-1H-12O2N2	241
C-1H-12O3N2	218
C-1H-12O4	191
C-1H-12O4N2	150
C-1H-13O1N1	219
C-1H-13O2N1	212
C-1H-13O3N1	221
C-1H-13O4N1	177
C-1H-14O1N2	185
C-1H-14O2N2	173
C-1H-14O3N2	175
C-1H-15O2N1	159
C-1H-15O3N1	141
C-1H-1O2N-1	645
C-1H-1O3N-1	440
C-1H-2O1	1117
C-1H-2O4N2	150
C-1H-8O3	402
C-1H-8O5N2	130
C-1H-9O1N3	176
C-1H-9O5N1	167
C-1H1O2N-1	565
C-1H1O2N-1S1	278
C-1H1O3N-1	406
C-1H2O1	885
C-1H2O2	683
C-1H2O3	455
C-1H3O2N-1	463
C-1H3O3N-1	326
C-1H3O5N-1	120
C-1H4O1	678
C-1H4O1S1	284
C-1O1	1078
C-1O1S1	372
C-1O2	781
C-2H-10O3N2	260
C-2H-10O4N2	188
C-2H-11N3	148
C-2H-11O1N3	170
C-2H-11O2N1	341
C-2H-11O2N3	156
C-2H-11O3N3	123
C-2H-11O4N1	210
C-2H-11O5N1	154
C-2H-12O1N2	273
C-2H-12O2N2	269
C-2H-12O3	297
C-2H-12O3N2	240
C-2H-12O4	214
C-2H-12O4N2	160
C-2H-12O5	154
C-2H-13N3	125
C-2H-13O1N3	149
C-2H-13O2N1	275
C-2H-13O2N3	117
C-2H-13O3N1	239
C-2H-13O4N1	188
C-2H-13O5N1	135
C-2H-14O1N2	228
C-2H-14O2N2	215
C-2H-14O3N2	175
C-2H-14O4	168
C-2H-14O4N2	136
C-2H-14O5	130
C-2H-15O2N1	204
C-2H-15O3N1	190
C-2H-15O4N1	149
C-2H-16O1N2	151
C-2H-16O2N2	165
C-2H-16O3N2	140
C-2H-16O4	128
C-2H-17O2N1	133
C-2H-17O3N1	123
C-2H-2O2	692
C-2H-4O4N2	147
C-2H-8O3N2	246
C-2H-8O4N2	187
C-2H1O3N-1	309
C-2H3O3N-1	227
C-2H5N1S1	129
C-2H7O2N-1	132
C-3H-10O3N2	232
C-3H-10O4N2	163
C-3H-11O2N3	164
C-3H-11O3N1	281
C-3H-11O3N3	122
C-3H-11O4N1	207
C-3H-11O5N1	134
C-3H-12O2N2	290
C-3H-12O3N2	219
C-3H-12O4N2	161
C-3H-12O5	149
C-3H-13O1N3	152
C-3H-13O2N3	141
C-3H-13O3N1	277
C-3H-13O4N1	208
C-3H-13O5N1	125
C-3H-14O2N2	249
C-3H-14O3N2	200
C-3H-14O4	192
C-3H-14O4N2	147
C-3H-14O5	130
C-3H-15O1N3	132
C-3H-15O3N1	237
C-3H-15O4N1	165
C-3H-16O2N2	200
C-3H-16O3N2	163
C-3H-16O4	145
C-3H-17O3N1	173
C-3H-18O2N2	136
C-3H-6O4N2	121
C-3H-8O3N2	210
C-3H-8O4N2	141
C-3H-9O5N1	120
C-4H-10O3N2	191
C-4H-10O4N2	125
C-4H-11O3N1	252
C-4H-11O4N1	176
C-4H-12O3N2	225
C-4H-12O4N2	142
C-4H-12O5	130
C-4H-13O3N1	258
C-4H-13O4N1	185
C-4H-14O3N2	213
C-4H-14O4	197
C-4H-14O4N2	140
C-4H-14O5	117
C-4H-15O2N3	124
C-4H-15O4N1	172
C-4H-16O3N2	174
C-4H-17O4N1	147
C-4H-18O3N2	134
C-4H-9O1N3	173
C-5H-13O2N3	132
C-5H-13O4N1	156
C-5H-14O3N2	188
C-5H-15O4N1	158
C-5H-17O4N1	146
C1	1303
C10H10O3	258
C10H11O1N1	195
C10H12O2	265
C10H13O4N1	272
C10H14O4	268
C10H15N1	142
C10H15O1N1	187
C10H16	224
C10H16O-1	168
C10H17O-1N-1	138
C10H18	235
C10H18O1	279
C10H19O-1N-1	158
C10H19O2N-1	207
C10H19O3N-1	177
C10H20	250
C10H20O1	257
C10H20O2S-1	120
C10H21N-1	190
C10H21O-1N-1	158
C10H21O-2N-1	115
C10H21O1N-1S-1	114
C10H22N-2	130
C10H22O1	220
C10H22O1N-2	134
C10H23N-1	170
C10H23O-1N-1	147
C10H24O-1	151
C10H24O1N-2	128
C10H8O2N2	152
C10H8O5N2	141
C10H9O1N1	166
C10H9O5N-1	126
C11H10O5N2	124
C11H12O2N2	153
C11H13O3N1	211
C11H16O4N2	163
C11H16O6	115
C11H17O4N1	170
C11H18O1	207
C11H18O2	228
C11H21O-1N-1	123
C11H22O2N-2	118
C11H23N-1	147
C12H12O4N2	121
C12H16O5N2	118
C13H23O2N-1	121
C1H-10O1N2	184
C1H-10O2N2	187
C1H-10O3N2	178
C1H-10O4N2	145
C1H-10O5	133
C1H-11N1	133
C1H-11O2N1	169
C1H-11O4N1	138
C1H-12O1N2	118
C1H-12O2N2	133
C1H-12O3N2	131
C1H-12O4	117
C1H-1N1	799
C1H-1O-1N1	711
C1H-1O1N-1	795
C1H-2	1037
C1H-2O5N2	146
C1H-5O-1N3	120
C1H-5O1N3	180
C1H-6N2	277
C1H-6O4	306
C1H-6O4N2	211
C1H-7O4N1	243
C1H-8O1N2	248
C1H-8O3N2	234
C1H-8O5N2	124
C1H-8O6	113
C1H-9O4N1	206
C1H-9O5N1	146
C1H1N1	947
C1H1O1N-1	887
C1H1O2N-1	763
C1H2	1390
C1H2O1	1359
C1H2O2	1004
C1H3O1N-1	758
C1H3O2N-1	689
C1H3O3N-1	512
C1H3O4N-1	341
C1H4	1098
C1H4O1	1046
C1H4O2	884
C1H4O3	610
C1H5O2N-1	554
C1H5O3N-1	407
C1H5O4N-1	275
C1H6O2N-2	266
C1H6O4N-2	131
C1H7O2N1S1	138
C1H8O1	558
C1H8O1N-2	279
C1O-2N2	368
C1O1	1297
C1O2	1011
C2	1050
C2H-10O1N2	128
C2H-10O2	147
C2H-10O2N2	133
C2H-10O3N2	132
C2H-1N1	677
C2H-1O-1N1	595
C2H-1O-2N1	467
C2H-1O2N-1S-1	200
C2H-1O2N1	627
C2H-4O1N2	317
C2H-5O4N3	120
C2H-5O6N1	134
C2H-7O4N-1	146
C2H-8O1N2	185
C2H-8O3N2	179
C2H-8O4N2	157
C2H-9O4N1	157
C2H-9O5N1	119
C2H10O1N-2	256
C2H11N-1	352
C2H12O-1N4	115
C2H14N-2	197
C2H15N-1	180
C2H15O-1N-1	197
C2H16N-2	131
C2H17O-1N-1	124
C2H1N1	874
C2H1O-1N1	733
C2H1O-2N1	538
C2H1O1N-1	757
C2H1O2N-1	710
C2H1O5N1	229
C2H2	1216
C2H2O-1	970
C2H2O1	1249
C2H2O1S-1	372
C2H2O2	1131
C2H2O3	783
C2H2O3N-2	337
C2H3N-1	713
C2H3O1N-1	765
C2H3O1N1	923
C2H4	1161
C2H4O1	1236
C2H4O2	1023
C2H4O3	727
C2H4O3S1	255
C2H4O5N-2	137
C2H5N1	830
C2H5O1N-1	676
C2H5O1N1	823
C2H5O2N-1	609
C2H5O2N1	686
C2H5O3N-1	499
C2H5O4N-1	339
C2H5O5N-1	220
C2H6O2	817
C2H6O3	615
C2H6O4	418
C2H7O3N1S1	140
C2H8O1	692
C2H8O5	188
C2H9O3N-1	272
C2O-1	884
C2O-1N2	391
C2O1	1052
C3	808
C3H-1O-1N-1	399
C3H-1O-1N1S-1	246
C3H-1O-3N1	215
C3H-2O5N2	168
C3H-3O-2N1	225
C3H-4O2N2	262
C3H-4O4N2	211
C3H-5O4N1	224
C3H-6O2N2	197
C3H-6O3N-2	147
C3H-7O3N1	194
C3H-7O5N1	131
C3H-8O3	157
C3H-8O3N2	136
C3H10O2	513
C3H10O3	414
C3H11N-1	409
C3H12N-2	292
C3H12O-1N-2	307
C3H12O1N-2	235
C3H13N-1	328
C3H13O-1N-1	354
C3H13O-2N-1	325
C3H14N-2	246
C3H14O-1N-2	280
C3H14O-3	260
C3H15O-2N-1	240
C3H16N-2	181
C3H16O-1N-2	213
C3H16O-3	191
C3H17N-1	158
C3H17O-1N-1	178
C3H17O-2N-1	192
C3H18N-2	122
C3H18O-1N-2	127
C3H18O-3	134
C3H1N1	700
C3H1O-2N1	427
C3H1O-3N1	271
C3H1O1N-1	637
C3H1O6N1	141
C3H2	975
C3H2O-2N2	303
C3H2O1	1058
C3H2O2	978
C3H2O3	767
C3H3N1S-1	338
C3H3O-1N1	644
C3H3O2N-1	690
C3H3O3N-1	559
C3H3O5N-1	263
C3H4	1003
C3H4O1	1155
C3H4O2	1081
C3H4O3	815
C3H4O6	189
C3H5N1	817
C3H5O-1N1	648
C3H5O1N-1	652
C3H5O2N-1	640
C3H5O2N1	782
C3H5O5N-1	259
C3H6O1	1034
C3H6O2	916
C3H6O3	727
C3H6O3N-2	250
C3H6O4	522
C3H7O3N1	525
C3H7O4N-1	312
C3H8O2	731
C3H9O3N-1	335
C3O-1	644
C3O-2N2S-1	146
C3O1	861
C4H-1N-1	370
C4H-1O-2N1	215
C4H-1O2N-1S-1	151
C4H-1O3N1	399
C4H-6N-2	115
C4H-6O1N2	127
C4H-6O3N2	140
C4H-7O3N1	123
C4H10O1	665
C4H11O-1N-3	170
C4H11O1N-3	149
C4H11O3N-1	289
C4H12O-1N-2	295
C4H12O-2N-2	273
C4H12O-3	298
C4H13O-1N-3	167
C4H13O-2N-1	328
C4H13O1N-3	130
C4H14N-2	279
C4H14O-1N-2	297
C4H14O-2N-2	266
C4H14O-3	271
C4H14O1N-2	236
C4H15N-3	138
C4H15O-1N-1	300
C4H15O-1N-3	138
C4H15O-2N-1	280
C4H15O-3N-1	241
C4H16N-2	231
C4H16O-1N-2	239
C4H16O-2N-2	219
C4H16O-3	214
C4H16O-4	175
C4H16O1N-2	194
C4H16O2N-2	144
C4H17N-1	212
C4H17O-1N-1	227
C4H17O-2N-1	216
C4H17O-3N-1	189
C4H18N-2	181
C4H18O-1N-2	188
C4H18O-2N-2	174
C4H18O-3	161
C4H18O-4	131
C4H18O1N-2	133
C4H19O-1N-1	154
C4H19O-2N-1	156
C4H19O-3N-1	136
C4H1N-1	454
C4H1O-2N1	318
