Molecular_transformation	Frequnecy
C4H2	755
C4H2O1S-1	374
C4H2O4N2	259
C4H3O1N1	726
C4H3O5N-1	279
C4H4O-1	650
C4H4O3	796
C4H5O1N1	817
C4H5O2N-1	576
C4H5O3N-1	520
C4H5O6N-1	167
C4H6O-1	660
C4H6O1	947
C4H6O2	964
C4H6O3	794
C4H6O4N-2	208
C4H7O1N1	776
C4H7O2N-1	543
C4H7O2N1	759
C4H7O3N1	602
C4H7O4N1	439
C4H7O6N-1	148
C4H8	807
C4H8O2	805
C4H8O3	691
C4H8O4	496
C4H9O4N-1	289
C4O-1	452
C4O-3N2	119
C5H-1O3N1	309
C5H-2N2	158
C5H-2O3N2	190
C5H-4O1N2	129
C5H10O4N-2	138
C5H10O5N2	187
C5H11O-1N-3	165
C5H11O-3N-1	206
C5H11O5N1	224
C5H12O-1N-2	267
C5H12O-2N-2	229
C5H13N3S-1	125
C5H13O-1N-1	375
C5H13O-1N-3	153
C5H13O-3N-1	235
C5H13O1N-3	138
C5H14O-1N-2	269
C5H14O-2N-2	244
C5H14O1N-2	242
C5H15N-1	334
C5H15N-3	145
C5H15O-1N-1	327
C5H15O-1N-3	138
C5H15O-2N-1	277
C5H15O-2N-3	130
C5H15O-3N-1	238
C5H16N-2	250
C5H16O-1N-2	256
C5H16O-2N-2	222
C5H16O-3	220
C5H16O-3N-2	181
C5H16O1N-2	221
C5H16O2N-2	165
C5H17O-1N-1	267
C5H17O-2N-1	246
C5H17O-3N-1	209
C5H18N-2	219
C5H18O-1N-2	204
C5H18O-2N-2	201
C5H18O-3	176
C5H18O-3N-2	158
C5H18O-4	131
C5H18O1N-2	179
C5H18O2N-2	128
C5H19O-2N-1	180
C5H19O-3N-1	153
C5H20N-2	149
C5H20O-1N-2	154
C5H20O-2	157
C5H20O-2N-2	147
C5H20O1N-2	121
C5H21O-2N-1	132
C5H2O-1	403
C5H3O-2N1	260
C5H4	642
C5H4O3N-2	255
C5H5N1	588
C5H5O1N1	666
C5H5O3N-1	470
C5H5O4N-1S-1	139
C5H5O5N-1	282
C5H6	691
C5H6O-1S-1	295
C5H6O1	801
C5H6O2	832
C5H6O2S-1	321
C5H6O3S-1	276
C5H7N1	599
C5H7O1N-1	486
C5H7O2N1	701
C5H7O3N-1	449
C5H8O1	806
C5H8O2	793
C5H8O3	692
C5H9O-3N-1	178
C5H9O3N-1	395
C5O-2N2	120
C5O5N2	164
C6H10	550
C6H10O2	667
C6H10O4S1	114
C6H11O6N1	156
C6H12	525
C6H12O-3	207
C6H12O-3N-2	123
C6H13O-2N1	178
C6H14O-1	393
C6H14O-2N-2	216
C6H14O-3N-2	144
C6H15O-1N-1	317
C6H15O-1N-3	141
C6H15O-2N-1	265
C6H15O-3N-1	204
C6H15O-4N-1	133
C6H15O1N-3	127
C6H16N-2	242
C6H16O-1N-2	238
C6H16O-2N-2	200
C6H16O-3N-2	159
C6H16O-4	146
C6H17N-1	302
C6H17N-3	130
C6H17O-1N-1	279
C6H17O-1N-3	127
C6H17O-2N-1	248
C6H17O-3N-1	193
C6H17O-4N-1	130
C6H17O1N-3	117
C6H18N-2	224
C6H18O-1N-2	230
C6H18O-2	249
C6H18O-2N-2	206
C6H18O-3	196
C6H18O-3N-2	149
C6H18O-4	134
C6H18O1N-2	221
C6H18O2N-2	172
C6H19O-2N-1	210
C6H19O-3N-1	167
C6H1O-1N-1	145
C6H2	362
C6H20N-2	181
C6H20O-1N-2	182
C6H20O-2	200
C6H20O-2N-2	173
C6H20O-3	150
C6H20O1N-2	160
C6H20O2N-2	131
C6H21O-1N-1	178
C6H21O-2N-1	151
C6H21O-3N-1	131
C6H2O2N2	271
C6H2O2S-1	249
C6H2O5	277
C6H2O5N2	159
C6H3O2N-1	358
C6H4	472
C6H4O2	588
C6H4O3	558
C6H4O3S-1	263
C6H5O-1N1	330
C6H5O2N1	556
C6H5O4N-1	346
C6H5O6N1	181
C6H6O-1	405
C6H6O-2N2	179
C6H6O2	673
C6H7O-2N1S-1	169
C6H7O2N-1	422
C6H7O3N-1	405
C6H7O3N1S1	116
C6H8O-2N2	185
C6H8O3	678
C6H8O4	554
C6H8O5	379
C6H8O5N2	221
C6H9O2N1	606
C6O5N2	134
C7H10O1	526
C7H10O2	564
C7H10O3	549
C7H11N1	341
C7H11O4N-1	259
C7H12O3	489
C7H12O4	404
C7H12O6	175
C7H13N1	299
C7H13O-1N1	219
C7H13O5N1	232
C7H13O6N1	142
C7H14	413
C7H14O-1	365
C7H14O-1N-2	191
C7H14O-2N-2	151
C7H14O3	386
C7H15N1	235
C7H15O-1N-1	278
C7H15O-1N-3	118
C7H15O-3N-1	149
C7H16N-2	220
C7H16O-1	331
C7H16O-1N-2	221
C7H16O-2	262
C7H16O-2N-2	186
C7H16O-3N-2	113
C7H16O-4	118
C7H16O1N-2	209
C7H17N-3	128
C7H17O-1N-1	285
C7H17O-2N-1	231
C7H17O-3N-1	161
C7H18N-2	219
C7H18O-1	280
C7H18O-1N-2	211
C7H18O-2	249
C7H18O-2N-2	172
C7H18O-3	185
C7H18O1N-2	194
C7H18O2N-2	171
C7H19O-1N-1	238
C7H19O-2N-1	214
C7H19O-3N-1	162
C7H19O2N-1	215
C7H20N-2	190
C7H20O-1N-2	192
C7H20O-2N-2	161
C7H20O-3	149
C7H20O1N-2	188
C7H20O2N-2	152
C7H21O-1N-1	190
C7H21O-2N-1	176
C7H21O-3N-1	138
C7H22N-2	143
C7H22O-1	173
C7H22O-1N-2	159
C7H22O1N-2	144
C7H23O-1N-1	139
C7H23O-2N-1	122
C7H2O3N2	198
C7H4O4N2	215
C7H5O4N1	347
C7H6O-2	160
C7H6O1	475
C7H6O4	449
C7H7O6N1	190
C7H8O2	565
C7H9O6N-1	150
C7O2N2	135
C8H10O2	475
C8H11O2N1	410
C8H11O4N1	386
C8H12O3N-2	134
C8H13N1	248
C8H13O-1N-1	194
C8H13O1N-1	285
C8H14	369
C8H14O-1	280
C8H14O-2	191
C8H14O1	412
C8H14O2	439
C8H14O3	389
C8H14O5	244
C8H15N1	212
C8H15O-1N-1	221
C8H15O-2N-1	172
C8H15O1N-1	290
C8H15O3N-1	234
C8H16	365
C8H16O-1	284
C8H16O-1N-2	170
C8H16O-2	216
C8H16O-2N-2	136
C8H16O1	376
C8H16O1N-2	183
C8H17N-1	270
C8H17O-1N-1	253
C8H17O-2N-1	185
C8H17O-3N-1	125
C8H17O1N-1	285
C8H18	318
C8H18N-2	194
C8H18O-1N-2	175
C8H18O-2	223
C8H18O-2N-2	140
C8H19N-1	255
C8H19O-1N-1	229
C8H19O-2N-1	193
C8H19O-3N-1	133
C8H20N-2	194
C8H20O-1N-2	180
C8H20O-2	196
C8H20O-2N-2	131
C8H20O-3	145
C8H20O1N-2	195
C8H20O2N-2	153
C8H21N-1	216
C8H21O-1N-1	204
C8H21O-2N-1	169
C8H21O-3N-1	125
C8H22N-2	155
C8H22O-1N-2	142
C8H22O1N-2	153
C8H22O2N-2	132
C8H23O-2N-1	137
C8H2O3N2	146
C8H3O4N1	201
C8H4O2N2S-1	125
C8H4O3N2	203
C8H4O4N2	178
C8H4O6	154
C8H6O4	347
C8H6O4N2	231
C8H6O7	113
C8H7O3N-1	275
C8H7O3N-1S-1	125
C9H11O3N1	358
C9H12O3	365
C9H12O4	340
C9H13O3N1	325
C9H14	273
C9H15O1N-1	239
C9H15O1N1	227
C9H15O2N-1	239
C9H16	311
C9H16O-1	231
C9H16O1	346
C9H17O-1N-1	197
C9H17O-2N-1	136
C9H17O3N-1	199
C9H18	286
C9H18N-2	158
C9H18O-1	230
C9H18O-1N-2	140
C9H18O1	304
C9H18O1S-1	166
C9H18O2	298
C9H18O3	265
C9H19O-1N-1	196
C9H19O-2N-1	152
C9H19O1N-1	244
C9H20N-2	157
C9H20O-1N-2	148
C9H20O1N-2	166
C9H21N-1	218
C9H21O-1N-1	184
C9H21O-2N-1	168
C9H21O2N-1	207
C9H22N-2	159
C9H22O-1N-2	138
C9H22O1N-2	153
C9H23N-1	169
C9H23O-2N-1	136
C9H24O-2	130
C9H25O-1N-1	113
C9H5O6N1	117
C9H6O3	262
C9H6O5N2	137
C9H7O1N1	218
C9H8O5	256
C9H9O4N1	303
H-10O-1N2	164
H-10O1N2	246
H-10O2N2	246
H-10O3N2	220
H-10O4N2	180
H-11O3N1	217
H-11O4N1	184
H-12O1N2	175
H-12O2N2	188
H-12O3	196
H-12O3N2	175
H-12O4	165
H-12O4N2	124
H-13O1N1	148
H-13O2N1	158
H-13O3N1	152
H-13O4N1	132
H-14O2N2	142
H-14O3	122
H-1O1N-1	875
H-1O3N-1	495
H-2O1	1181
H-2O2	912
H-2O4N-2	235
H-2O5N2	117
H-3O-2N3	131
H-4O2	757
H-5N3	183
H-5O4N3	123
H-6O1N2	345
H-6O4N2	215
H-6O5N2	142
H-7O-1N3	120
H-7O1N3	174
H-7O4N1	262
H-8O-1N2	216
H-8O2N2	295
H-8O3N2	265
H-8O4N2	199
H-8O5N2	130
H-9N3	128
H-9O1N3	148
H-9O3N3	131
H-9O4N1	223
H1N1	908
H1O1N-1	846
H1O1N1	793
H1O2N-1	673
H1O3N-1	478
H2	1322
H2O1	1172
H2O2	853
H2O3N-2	268
H3O1N-1	679
H3O2N-1	589
H3O4N-1	271
H3O5N-1	168
H4O1	905
H4O2	701
H5O2N-1	456
H5O3N-1	327
H5O4N-1	209
H8O1N2	285
H8S1	163
O1	1344
O2	948
O3	648
