formula,C,H,N,O,S,molecular_weight,H.C,O.C,N.C,S.C,DBE,DBEO,DBEAI,DBEAImod,NOSC,Gibbs,AI,AImod,KDF_CH2,Y_met,classification,WZ0616E,WZ0714I,WZ0714E,WZ0728E,WZ0811E,WZ0825E,WZ0915E,BJ0613E,QQ0615E,QH0615E,JZ0617E,CS0617E,FS0617E,QQ0627E,QH0629E,JZ0701E,CS0701E,FS0702E,BJ0704E,QH0714E,QH0714I,JZ0715I,JZ0715E,CS0715I,CS0715E,FS0716I,FS0716E,QQ0718I,QQ0718E,BJ0718I,BJ0718E,QH0720E,JZ0729E,FS0729E,QQ0801E,BJ0801E,QH0803E,BJ0815E,QQ0815E,QH0817E,JZ0819E,FS0819E,CS0825E,CS0908E,QQ0913E,BJ0919E,CS0917E,JZ0916E,FS0916E
C49H52O7,49,52,0,7,0,752.3713,1.061224,0.1428571,0,0,24,17,17,20.5,-0.7755102,82.40204,0.4047619,0.4505495,-0.4687995,0.03586304,lignin,0,0.000139433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H52ON2,49,52,2,1,0,684.408,1.061224,0.02040816,0.04081633,0,25,24,22,22.5,-0.8979592,85.89184,0.4782609,0.483871,-0.356253,0.03522115,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,4.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26E-05,0,0,0,5.62E-05,0,0,0,0,0,0
C49H53O2NS2,49,53,1,2,2,751.3518,1.081633,0.04081633,0.02040816,0.04081633,24,22,19,20,-0.8571429,84.72857,0.4318182,0.4444444,-0.4871951,0.03357431,unsaturated hydrocarbons,0,0.000141663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H53O3NS2,49,53,1,3,2,767.3467,1.081633,0.06122449,0.02040816,0.04081633,24,21,18,19.5,-0.8163265,83.56531,0.4186047,0.4382022,-0.5101402,0.03379815,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105397,0,0,0,0,0.000108769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H53O4NS2,49,53,1,4,2,783.3416,1.081633,0.08163265,0.02040816,0.04081633,24,20,17,19,-0.7755102,82.40204,0.4047619,0.4318182,-0.5330852,0.034025,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23E-05,0,9.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H53O5NS2,49,53,1,5,2,799.3365,1.081633,0.1020408,0.02040816,0.04081633,24,19,16,18.5,-0.7346939,81.23878,0.3902439,0.4252874,-0.5560303,0.03425492,lignin,0,6.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H53O6N,49,53,1,6,0,751.3873,1.081633,0.122449,0.02040816,0,24,18,17,20,-0.7755102,82.40204,0.4047619,0.4444444,-0.4517168,0.0359169,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H54N2,49,54,2,0,0,670.4287,1.102041,0,0.04081633,0,24,24,22,22,-0.9795918,88.21837,0.4680851,0.4680851,-0.3199087,0.03473843,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0.000115425,0,0,0.000223559,0,0,0,0,0,5.82E-05,0,0,0,0.000465348,0,0,0,0,0,0,0,0,0,0,0.000231241,0.00011348,0,0,0,0.000103091,0,0,0,0.000120749,0,0,4.24E-05,0,0,0
C49H54O2N2,49,54,2,2,0,702.4185,1.102041,0.04081633,0.04081633,0,24,22,20,21,-0.8979592,85.89184,0.4444444,0.4565217,-0.3657988,0.03522115,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-05,0,0,0,0,0.000155163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H54O2S2,49,54,0,2,2,738.3565,1.102041,0.04081633,0,0.04081633,23,21,19,20,-0.9387755,87.0551,0.4222222,0.4347826,-0.4679335,0.03308955,unsaturated hydrocarbons,0,0.000133779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
