formula,C,H,N,O,S,molecular_weight,H.C,O.C,N.C,S.C,DBE,DBEO,DBEAI,DBEAImod,NOSC,Gibbs,AI,AImod,KDF_CH2,Y_met,classification,WZ0616E,WZ0714I,WZ0714E,WZ0728E,WZ0811E,WZ0825E,WZ0915E,BJ0613E,QQ0615E,QH0615E,JZ0617E,CS0617E,FS0617E,QQ0627E,QH0629E,JZ0701E,CS0701E,FS0702E,BJ0704E,QH0714E,QH0714I,JZ0715I,JZ0715E,CS0715I,CS0715E,FS0716I,FS0716E,QQ0718I,QQ0718E,BJ0718I,BJ0718E,QH0720E,JZ0729E,FS0729E,QQ0801E,BJ0801E,QH0803E,BJ0815E,QQ0815E,QH0817E,JZ0819E,FS0819E,CS0825E,CS0908E,QQ0913E,BJ0919E,CS0917E,JZ0916E,FS0916E
C10H10O2N2,10,10,2,2,0,190.074228,1,0.2,0.2,0,7,5,3,4,0,60.3,0.5,0.571428571,-0.138010581,0.210696882,lignin,0,0,0,0,0,0,0,3.00E-05,0,0,3.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18E-05,3.04E-05,2.48E-05,0
C10H10O3,10,10,0,3,0,178.062995,1,0.3,0,0,6,3,3,4.5,-0.4,71.7,0.428571429,0.529411765,-0.135831731,0.187962496,lignin,9.99E-05,0.000313984,6.33E-05,7.27E-05,0.00010643,8.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.29E-05,0,0,0,0,4.68E-05,3.73E-05,0,0,4.45E-05,0,5.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E-05,0,0,0
C10H10O3N2,10,10,2,3,0,206.069143,1,0.3,0.2,0,7,4,2,3.5,0.2,54.6,0.4,0.538461538,-0.160955646,0.215294909,lignin,0.00018314,0,8.53E-05,7.46E-05,7.76E-05,8.13E-05,0.000119249,4.25E-05,3.95E-05,0,3.14E-05,0,0,5.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-05,3.46E-05,0,0,0,0,0,5.19E-05,3.59E-05,3.01E-05,2.74E-05,0
C10H10O3S,10,10,0,3,1,210.035066,1,0.3,0,0.1,6,3,2,3.5,-0.2,66,0.333333333,0.466666667,-0.199461031,0.169577848,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H10O4,10,10,0,4,0,194.05791,1,0.4,0,0,6,2,2,4,-0.2,66,0.333333333,0.5,-0.158776796,0.195806785,lignin,0.000160294,0.000397756,0.000174845,0.000159821,0.000172174,0.000168203,0.000142954,0.000113897,0.000111372,0.000109937,9.82E-05,0.000122519,5.41E-05,0.000148143,8.43E-05,0.000111721,0.000158622,7.79E-05,0.000126033,8.05E-05,0.000197602,0.000162328,7.95E-05,0.000166392,0.000145019,0.000293419,3.97E-05,0.000243395,6.04E-05,0.000283225,6.69E-05,8.57E-05,0.000133182,0.000106347,0.000124532,0.00015467,0.000131464,0.000145068,0.000145256,0.000109015,9.13E-05,0.000106177,0.000126698,0.000150752,0.000131627,0.000194653,0.000122977,7.08E-05,0.00010301
C10H10O4N2,10,10,2,4,0,222.064058,1,0.4,0.2,0,7,3,1,3,0.4,48.9,0.25,0.5,-0.183900711,0.224844041,lignin,6.02E-05,4.20E-05,5.11E-05,5.02E-05,4.49E-05,3.42E-05,4.03E-05,5.11E-05,4.23E-05,2.94E-05,3.84E-05,0,0,5.36E-05,3.09E-05,0,0,0,5.01E-05,0,0,0,3.46E-05,0,0,0,0,4.35E-05,4.62E-05,4.54E-05,4.42E-05,0,2.91E-05,0,5.75E-05,4.75E-05,0,3.35E-05,4.13E-05,3.92E-05,0,0,0,4.11E-05,6.68E-05,0,4.48E-05,0,0
C10H10O4N2S,10,10,2,4,1,254.036129,1,0.4,0.2,0.1,7,3,0,2,0.6,43.2,0,0.4,-0.247530011,0.199032161,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,0,0,0,0,3.48E-05,0,0,0,0,0,0,0,0,0,0,0
C10H10O4N4,10,10,4,4,0,250.070206,1,0.4,0.4,0,8,4,0,2,1,31.8,0,0.5,-0.209024626,0.265103709,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-05
C10H10O4S,10,10,0,4,1,226.029981,1,0.4,0,0.1,6,2,1,3,0,60.3,0.2,0.428571429,-0.222406096,0.175446839,lignin,0,0,0,0,0,0,4.11E-05,3.25E-05,0,0,0,0,0,0,0,0,4.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-05,0,0,0
C10H10O5,10,10,0,5,0,210.052825,1,0.5,0,0,6,1,1,3.5,0,60.3,0.2,0.466666667,-0.181721861,0.203017596,lignin,0.000281532,0.000799856,0.000279855,0.000276853,0.000326413,0.00032507,0.000180035,0.000242857,0.000135303,0.000182987,0.000186149,0.00022159,0.000147992,0.000181818,0.000174247,0.000194831,0.000230814,0.00020332,0.000321808,0.000174595,0.000193989,0.000257618,0.000187474,0.000542715,0.000204372,0.000344003,0.000121439,0.000313146,9.76E-05,0.000385447,0.000196427,0.000174339,0.000161437,0.000220808,0.000183721,0.000381944,0.000239019,0.000366304,0.000187821,0.000194138,0.000135268,0.000223164,0.000142412,0.000230385,0.000163824,0.000352588,0.000204734,9.82E-05,0.000210595
C10H10O5N2,10,10,2,5,0,238.058973,1,0.5,0.2,0,7,2,0,2.5,0.6,43.2,0,0.454545455,-0.206845776,0.235279567,lignin,0.000268699,0,0.000160348,0.000153627,0.000190091,0.000132463,0.000271198,9.11E-05,6.45E-05,4.39E-05,5.66E-05,4.76E-05,2.95E-05,7.14E-05,0,4.37E-05,0,0,4.29E-05,0,0,0,3.42E-05,0,5.10E-05,0,3.80E-05,4.64E-05,0,0,5.95E-05,3.19E-05,4.16E-05,3.66E-05,6.47E-05,6.91E-05,0,6.15E-05,7.54E-05,4.47E-05,2.83E-05,0,3.28E-05,4.70E-05,9.71E-05,5.13E-05,0,4.23E-05,4.40E-05
C10H10O5N2S,10,10,2,5,1,270.031044,1,0.5,0.2,0.1,7,2,-1,1.5,0.8,37.5,-0.5,0.333333333,-0.270475076,0.207165901,lignin,0,0,0,0,0,0,0,0,0,0,3.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.07E-05,0,0,0,5.51E-05,0,4.74E-05,0,0,0,0,0,4.80E-05,0,0,0,0,0,3.03E-05,0,0,0,0,0,0,0
C10H10O5N4,10,10,4,5,0,266.065121,1,0.5,0.4,0,8,3,-1,1.5,1.2,26.1,-1,0.428571429,-0.231969691,0.279732466,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12E-05,0,0,0,0,0,0,0,0,3.37E-05
C10H10O5S,10,10,0,5,1,242.024896,1,0.5,0,0.1,6,1,0,2.5,0.2,54.6,0,0.384615385,-0.245351161,0.181736638,lignin,6.70E-05,7.35E-05,4.53E-05,4.50E-05,4.03E-05,4.67E-05,5.13E-05,3.87E-05,0,2.96E-05,0,4.07E-05,0,0,0,4.75E-05,3.71E-05,0,0,0,0,0,3.53E-05,5.67E-05,3.55E-05,4.51E-05,0,0,0,0,0,0,0,0,0,3.75E-05,0,0,0,4.96E-05,0,3.53E-05,3.27E-05,0,3.97E-05,0,3.39E-05,0,0
C10H10O6,10,10,0,6,0,226.04774,1,0.6,0,0,6,0,0,3,0.2,54.6,0,0.428571429,-0.204666926,0.211487269,lignin,0.000227572,0.000829804,0.00027191,0.000286412,0.000303237,0.000280465,0.000157931,0.000158751,0.000131579,0.000115309,0.000126627,0.000104746,9.90E-05,0.000148139,0.000116181,0.000125525,0.000133525,0.000108738,0.000156606,9.48E-05,0.000118469,0.000140393,0.000104324,0.000185175,0.000113263,0.000183378,8.30E-05,0.000185136,0.000101623,0.000166509,0.000140804,0.000106819,9.59E-05,0.00012948,0.000115779,0.00022113,0.000132883,0.000183784,0.000164761,0.00010056,0.000105414,0.00012163,9.00E-05,0.000133902,0.000134222,0.000166387,0.000117455,6.43E-05,0.000162576
C10H10O6N2,10,10,2,6,0,254.053888,1,0.6,0.2,0,7,1,-1,2,0.8,37.5,-0.5,0.4,-0.229790841,0.246730913,lignin,0,0,0,0,3.93E-05,0,4.07E-05,3.10E-05,3.66E-05,3.60E-05,0,0,0,7.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52E-05,0,0,0,0,9.90E-05,3.56E-05,0,0,4.60E-05,0,0,0,0,4.53E-05,9.43E-05,3.70E-05,0,0,4.23E-05
C10H10O6N2S,10,10,2,6,1,286.025959,1,0.6,0.2,0.1,7,1,-2,1,1,31.8,-2,0.25,-0.293420141,0.215992761,lignin,0,0,0,0,0,0,0,0,0,0,3.41E-05,0,3.29E-05,0,0,0,0,0,0,0,5.81E-05,6.97E-05,0,0,0,0.000131162,0,5.34E-05,0,6.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H10O6S,10,10,0,6,1,258.019811,1,0.6,0,0.1,6,0,-1,2,0.4,48.9,-0.333333333,0.333333333,-0.268296226,0.188494187,lignin,5.83E-05,7.33E-05,8.64E-05,7.06E-05,8.63E-05,9.76E-05,6.14E-05,0.000143788,8.19E-05,4.90E-05,5.01E-05,5.56E-05,3.27E-05,9.35E-05,5.45E-05,4.05E-05,7.06E-05,4.50E-05,0.000219903,4.05E-05,4.01E-05,0,6.61E-05,6.82E-05,6.37E-05,4.41E-05,3.70E-05,0.000132261,6.23E-05,9.79E-05,0.000198324,4.78E-05,3.80E-05,5.58E-05,9.30E-05,0.000218014,7.36E-05,0.000121194,8.60E-05,5.23E-05,4.21E-05,5.82E-05,4.43E-05,6.90E-05,9.56E-05,9.69E-05,4.71E-05,4.10E-05,6.01E-05
C10H10O7,10,10,0,7,0,242.042655,1,0.7,0,0,6,-1,-1,2.5,0.4,48.9,-0.333333333,0.384615385,-0.227611991,0.220694399,tannins,0.000134624,0.000150317,0.000191065,0.000173462,0.000205463,0.000207675,0.000146253,0.000137092,9.75E-05,4.65E-05,9.02E-05,0.00010782,0.000139888,9.89E-05,6.53E-05,0.00013072,0.000117654,0.000122274,0.000144931,5.02E-05,7.77E-05,7.15E-05,0.000104299,0.000105476,0.000133169,0.000168727,9.61E-05,9.07E-05,0,0.000157294,9.65E-05,3.98E-05,0.000105516,0.000135214,8.26E-05,0.000188366,0.000100543,0.000180466,0.000104688,4.87E-05,0.000104416,0.000153972,5.90E-05,0.000103818,8.03E-05,0.000142178,0.000101773,9.08E-05,0.000172514
C10H10O7N2,10,10,2,7,0,270.048803,1,0.7,0.2,0,7,0,-2,1.5,1,31.8,-2,0.333333333,-0.252735906,0.25935399,tannins,0,0,0,0,0,0,0,0,3.66E-05,6.87E-05,0,4.85E-05,0,5.10E-05,0,0,0,0,0,3.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.24E-05,0,0,0,0,0,0,0,0,0,0,5.02E-05,5.36E-05,0,4.61E-05,0,0
C10H10O7S,10,10,0,7,1,274.014726,1,0.7,0,0.1,6,-1,-2,1.5,0.6,43.2,-1,0.272727273,-0.291241291,0.195773678,tannins,0,7.00E-05,0,4.92E-05,3.88E-05,6.92E-05,4.96E-05,7.81E-05,7.29E-05,4.14E-05,4.79E-05,6.28E-05,0,9.33E-05,4.14E-05,4.85E-05,7.96E-05,4.79E-05,7.48E-05,0,0,0,0,6.75E-05,5.20E-05,0,0,7.53E-05,5.75E-05,8.47E-05,6.96E-05,4.57E-05,4.77E-05,4.58E-05,7.71E-05,8.55E-05,0,4.19E-05,6.70E-05,4.85E-05,4.17E-05,4.68E-05,5.61E-05,7.22E-05,8.41E-05,5.62E-05,6.93E-05,3.90E-05,0
C10H10O8,10,10,0,8,0,258.03757,1,0.8,0,0,6,-2,-2,2,0.6,43.2,-1,0.333333333,-0.250557056,0.230739687,tannins,0,6.04E-05,6.52E-05,3.86E-05,6.44E-05,7.14E-05,6.27E-05,4.63E-05,5.98E-05,0,0,0,4.87E-05,5.31E-05,0,0,4.63E-05,5.81E-05,0,0,0,5.38E-05,5.26E-05,4.10E-05,4.31E-05,0.000483781,5.49E-05,7.26E-05,0,5.99E-05,0,0,3.96E-05,7.79E-05,4.45E-05,4.27E-05,5.20E-05,5.96E-05,0,0,0,7.14E-05,0,4.86E-05,5.06E-05,5.35E-05,3.68E-05,3.24E-05,7.09E-05
C10H10O8S,10,10,0,8,1,290.009641,1,0.8,0,0.1,6,-2,-3,1,0.8,37.5,-3,0.2,-0.314186356,0.203638011,tannins,0,0,0.000140758,0,5.71E-05,6.52E-05,4.57E-05,3.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72E-05,0,4.61E-05,0,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0
C10H10O9,10,10,0,9,0,274.032485,1,0.9,0,0,6,-3,-3,1.5,0.8,37.5,-3,0.272727273,-0.273502121,0.241743039,tannins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18E-05
C10H11O2N,10,11,1,2,0,177.078979,1.1,0.2,0.1,0,6,4,3,4,-0.4,71.7,0.428571429,0.5,-0.11874897,0.189451435,lignin,5.08E-05,0,0,0,0,0,3.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H11O2NS,10,11,1,2,1,209.05105,1.1,0.2,0.1,0.1,6,4,2,3,-0.2,66,0.333333333,0.428571429,-0.18237827,0.170788827,lignin,0,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H11O3N,10,11,1,3,0,193.073894,1.1,0.3,0.1,0,6,3,2,3.5,-0.2,66,0.333333333,0.466666667,-0.141694035,0.201045696,lignin,0.000142508,0.000355237,9.87E-05,9.62E-05,9.06E-05,7.80E-05,0.000105456,7.28E-05,7.25E-05,4.04E-05,5.90E-05,6.50E-05,4.36E-05,7.18E-05,3.92E-05,3.87E-05,4.65E-05,0,9.48E-05,3.89E-05,0.000168702,0.000144362,5.02E-05,0.000111845,6.72E-05,9.44E-05,3.87E-05,0.000157912,3.92E-05,0.00011946,6.00E-05,3.80E-05,4.29E-05,3.06E-05,7.53E-05,8.73E-05,5.77E-05,0.000103404,5.14E-05,4.49E-05,2.67E-05,3.78E-05,4.14E-05,7.33E-05,5.83E-05,8.61E-05,6.93E-05,3.96E-05,7.06E-05
C10H11O3N3,10,11,3,3,0,221.080042,1.1,0.3,0.3,0,7,4,1,2.5,0.4,48.9,0.25,0.454545455,-0.16681795,0.226977935,lignin,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H11O3N5,10,11,5,3,0,249.08619,1.1,0.3,0.5,0,8,5,0,1.5,1,31.8,0,0.428571429,-0.191941865,0.268075241,lignin,0,4.00E-05,3.86E-05,0,0,3.80E-05,4.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H11O3NS,10,11,1,3,1,225.045965,1.1,0.3,0.1,0.1,6,3,1,2.5,0,60.3,0.2,0.384615385,-0.205323335,0.176743411,lignin,0,0,0,0,0,0,0,0,0,0,0,0,2.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09E-05,0,0,0,0,0
C10H11O4N,10,11,1,4,0,209.068809,1.1,0.4,0.1,0,6,2,1,3,0,60.3,0.2,0.428571429,-0.1646391,0.204930179,lignin,0.000564199,0.001291835,0.000395087,0.000360822,0.000311434,0.000314057,0.000381544,0.000216173,0.000360977,0.000166564,0.000162258,0.000178467,0.000136889,0.000412848,0.000153385,0.000163202,0.000140358,0.000102162,0.000172467,0.000122584,0.000143872,0.000219197,0.000117935,0.000197674,0.000154703,0.00023668,7.44E-05,0.000330626,0.000155297,0.000170022,0.00011815,0.000113946,0.000125558,0.000126152,0.000191451,0.00019258,0.000164115,0.000196081,0.000274949,0.000158263,0.000111851,0.000117138,0.000111225,0.000188373,0.000398468,0.000208322,0.000191186,0.000134874,0.000208904
C10H11O4N3,10,11,3,4,0,237.074957,1.1,0.4,0.3,0,7,3,0,2,0.6,43.2,0,0.4,-0.189763015,0.237617165,lignin,0.000252837,0,0.000101952,0.000114342,9.51E-05,0.000103134,0.000149429,0.000100369,0,0,0,0,2.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01E-05,0,0.000111844,0,0,0,4.34E-05,0,0,6.22E-05,3.76E-05,0,0,0,0,0,6.55E-05,4.94E-05,0,0,5.00E-05
C10H11O4NS,10,11,1,4,1,241.04088,1.1,0.4,0.1,0.1,6,2,0,2,0.2,54.6,0,0.333333333,-0.2282684,0.18312821,lignin,0,0,0,4.24E-05,4.10E-05,5.10E-05,5.03E-05,5.09E-05,0,3.09E-05,5.49E-05,5.48E-05,2.83E-05,4.33E-05,3.17E-05,4.56E-05,3.78E-05,2.60E-05,4.73E-05,3.04E-05,5.11E-05,0,6.71E-05,0,0,4.14E-05,0,0,0,0,0,3.30E-05,3.33E-05,0,4.54E-05,0,0,4.36E-05,4.23E-05,4.56E-05,4.49E-05,0,3.11E-05,5.67E-05,0,4.79E-05,4.90E-05,0,4.25E-05
C10H11O5N,10,11,1,5,0,225.063724,1.1,0.5,0.1,0,6,1,0,2.5,0.2,54.6,0,0.384615385,-0.187584165,0.213374104,lignin,0.000528086,0.000942566,0.000624022,0.000643772,0.000681027,0.000662205,0.000577195,0.000531928,0.000540823,0.000282051,0.00034416,0.000446782,0.00019801,0.000565808,0.000260896,0.000390111,0.000441945,0.000185364,0.000409197,0.000255564,0.000558274,0.000494307,0.000313023,0.000383942,0.000375204,0.000325749,0.0001611,0.000598943,0.000355296,0.000379579,0.000413026,0.000246702,0.000295167,0.00021048,0.000458606,0.00051337,0.000339993,0.000495931,0.000562139,0.00027257,0.000255552,0.000217236,0.000323269,0.000459799,0.000508631,0.000479248,0.000401218,0.000236604,0.000314276
C10H11O5N3,10,11,3,5,0,253.069872,1.1,0.5,0.3,0,7,2,-1,1.5,0.8,37.5,-0.5,0.333333333,-0.21270808,0.24930284,lignin,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,3.20E-05,0,0,0,0,0,0,0,4.82E-05,5.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.50E-05,3.43E-05,0,0,0,0,0,0,0,0,5.65E-05,8.48E-05,0,0,0
C10H11O5NS,10,11,1,5,1,257.035795,1.1,0.5,0.1,0.1,6,1,-1,1.5,0.4,48.9,-0.333333333,0.272727273,-0.251213465,0.189991595,lignin,6.38E-05,0,7.11E-05,8.82E-05,6.17E-05,6.34E-05,5.69E-05,8.98E-05,6.07E-05,3.77E-05,6.20E-05,5.42E-05,7.84E-05,6.67E-05,3.46E-05,7.97E-05,7.42E-05,4.63E-05,8.26E-05,4.10E-05,5.07E-05,0,6.36E-05,6.32E-05,6.63E-05,6.92E-05,5.47E-05,5.24E-05,5.16E-05,6.78E-05,6.84E-05,5.03E-05,4.83E-05,5.81E-05,4.72E-05,0.000100443,0,7.35E-05,6.67E-05,0,4.69E-05,6.16E-05,4.25E-05,9.75E-05,7.11E-05,8.58E-05,5.76E-05,0,7.66E-05
C10H11O5NS2,10,11,1,5,2,289.007866,1.1,0.5,0.1,0.2,6,1,-2,0.5,0.6,43.2,-1,0.111111111,-0.314842765,0.171227684,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H11O6N,10,11,1,6,0,241.058639,1.1,0.6,0.1,0,6,0,-1,2,0.4,48.9,-0.333333333,0.333333333,-0.21052923,0.222749896,lignin,0.000558219,0.000507279,0.000538676,0.000563139,0.000555884,0.000547055,0.000406989,0.000464619,0.000442132,0.000308354,0.000393291,0.000405011,0.000286319,0.000455623,0.000288808,0.000361565,0.000402133,0.0003089,0.000406088,0.000287238,0.000406513,0.000657688,0.000346948,0.000465428,0.000356633,0.000410665,0.00022067,0.000911564,0.000261314,0.000527823,0.000306877,0.000270079,0.000315875,0.000353973,0.000394041,0.000443571,0.000372264,0.000482129,0.000473195,0.000329614,0.000282144,0.000376046,0.000290764,0.000451222,0.000466962,0.000517452,0.000403145,0.000293263,0.000514865
C10H11O6N3,10,11,3,6,0,269.064787,1.1,0.6,0.3,0,7,1,-2,1,1,31.8,-2,0.25,-0.235653145,0.262197332,lignin,0,0,0,0,0,0,0,4.37E-05,4.51E-05,0.000115229,0,0,0.00010336,0,7.84E-05,0,0,6.98E-05,0,5.76E-05,0,0,3.90E-05,0,0,7.00E-05,5.18E-05,0,0,0,0,3.29E-05,0,7.25E-05,6.47E-05,0,0,0,6.02E-05,5.08E-05,0,6.68E-05,0,0.000110611,9.19E-05,0,0.00010953,5.93E-05,0.000115521
C10H11O6NS,10,11,1,6,1,273.03071,1.1,0.6,0.1,0.1,6,0,-2,1,0.6,43.2,-1,0.2,-0.27415853,0.197389473,lignin,0.000119185,7.70E-05,8.77E-05,9.41E-05,8.52E-05,9.31E-05,8.97E-05,0.000103289,6.57E-05,5.60E-05,7.76E-05,0.00010327,8.20E-05,8.76E-05,5.41E-05,7.52E-05,9.49E-05,7.92E-05,8.43E-05,6.25E-05,7.70E-05,0.000111049,7.35E-05,0.000112353,7.79E-05,0.000206631,8.13E-05,9.51E-05,6.85E-05,0.000106932,8.88E-05,4.44E-05,8.00E-05,9.55E-05,6.49E-05,0.000100859,0,0.000100755,8.44E-05,6.53E-05,6.64E-05,8.01E-05,8.03E-05,0.000100054,8.93E-05,0.000110489,9.61E-05,4.86E-05,0.000116027
C10H11O6NS2,10,11,1,6,2,305.002781,1.1,0.6,0.1,0.2,6,0,-3,0,0.8,37.5,-3,0,-0.33778783,0.177213446,lignin,0,0,6.18E-05,4.61E-05,8.01E-05,0.000112108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H11O7N,10,11,1,7,0,257.053554,1.1,0.7,0.1,0,6,-1,-2,1.5,0.6,43.2,-1,0.272727273,-0.233474295,0.232987513,tannins,0.000112497,0.000118315,0.000182665,0.000188593,0.000146988,0.000175009,0.000139503,0.000165321,0.000165637,0.000105683,0.00011906,0.000163023,0.00035672,0.000201116,0.000102747,0.000125999,0.000130949,0.000366314,0.000132264,8.74E-05,6.35E-05,0.00011425,0.000110548,7.03E-05,0.000163364,0.000543597,0.000315189,9.63E-05,7.99E-05,8.85E-05,0.000163953,7.68E-05,0.00010717,0.000488539,0.000121267,0.000189152,0.00010436,0.000201845,0.00019152,8.86E-05,6.69E-05,0.000555789,0.000128466,0.000188889,0.000188816,0.000230512,0.000187469,9.53E-05,0.000660765
C10H11O7NS,10,11,1,7,1,289.025625,1.1,0.7,0.1,0.1,6,-1,-3,0.5,0.8,37.5,-3,0.111111111,-0.297103595,0.205386808,tannins,7.50E-05,0,7.17E-05,6.15E-05,8.36E-05,6.86E-05,5.59E-05,7.59E-05,5.14E-05,4.12E-05,4.52E-05,6.33E-05,4.84E-05,8.20E-05,5.69E-05,5.28E-05,5.61E-05,4.10E-05,4.95E-05,0,0,0,5.47E-05,7.21E-05,5.09E-05,7.43E-05,4.94E-05,0,0,4.86E-05,6.47E-05,4.39E-05,4.88E-05,4.63E-05,6.41E-05,8.08E-05,5.14E-05,6.88E-05,6.49E-05,5.44E-05,4.49E-05,4.49E-05,4.41E-05,7.30E-05,5.99E-05,7.26E-05,5.41E-05,3.82E-05,7.64E-05
C10H11O8N,10,11,1,8,0,273.048469,1.1,0.8,0.1,0,6,-2,-3,1,0.8,37.5,-3,0.2,-0.25641936,0.24421151,tannins,0,0,4.10E-05,0,0,0,0,0,0,0,3.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81E-05,6.03E-05
C10H11O8NS,10,11,1,8,1,305.02054,1.1,0.8,0.1,0.1,6,-2,-4,0,1,31.8,#NAME?,0,-0.32004866,0.214059539,tannins,0,0,0,0,0,0,0,0,0,0,3.74E-05,4.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62E-05,4.50E-05,4.03E-05,5.43E-05,0,0
C10H12O,10,12,0,1,0,148.088815,1.2,0.1,0,0,5,4,4,4.5,-1,88.8,0.444444444,0.473684211,-0.076542294,0.169147396,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H12O10,10,12,0,10,0,292.04305,1.2,1,0,0,5,-5,-5,0,0.8,37.5,#NAME?,0,-0.283047879,0.241743039,tannins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H12O2,10,12,0,2,0,164.08373,1.2,0.2,0,0,5,3,3,4,-0.8,83.1,0.375,0.444444444,-0.099487359,0.174986116,lignin,8.14E-05,0,0,0,0,0,0,8.01E-05,5.28E-05,4.45E-05,7.22E-05,7.65E-05,6.11E-05,5.22E-05,4.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06E-05,0,0,8.79E-05,5.81E-05,0.000115237,9.98E-05,3.84E-05,0
C10H12O2N2,10,12,2,2,0,192.089878,1.2,0.2,0.2,0,6,4,2,3,-0.2,66,0.333333333,0.428571429,-0.124611274,0.206371544,lignin,5.43E-05,0,0,3.43E-05,3.84E-05,0,0,0,0,0,0,0,0,4.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0,0
