	FS0916E	CS0908E	QQ0718E	CS0617E	JZ0701E	FS0702E	QH0615E	BJ0815E	BJ0613E	FS0617E	FS0716E	WZ0728E	QH0720E	BJ0718E	QQ0627E	QH0714E	CS0715E	FS0729E	JZ0729E	CS0701E	WZ0811E	WZ0825E	FS0819E	QQ0801E	BJ0704E	WZ0616E	JZ0715E	JZ0916E	JZ0617E	QH0803E	CS0825E	QH0817E	QQ0615E	WZ0714E	QQ0913E	QQ0815E	BJ0919E	JZ0819E	BJ0801E	WZ0915E	QH0629E	CS0917E
OTU_30	3558	8	29	2	6	267	5	1	4	163	298	27	20	0	50	35	6	330	10	5	65	97	1482	50	2	0	10	2	4	8	1	2	39	29	178	95	1	1	7	26	48	13
OTU_38	0	354	23	2721	65	0	0	251	727	0	0	0	0	0	47	0	3022	0	0	1408	1	0	0	32	274	0	70	28	13	0	464	0	11	0	60	214	32	12	135	0	0	335
OTU_94	1	1	267	1	179	0	2	17	221	1	0	0	0	73	372	0	2	0	21	3	1	0	0	267	45	3	35	6	381	1	0	0	115	1	329	91	425	11	102	0	0	3
OTU_60	0	59	308	1294	0	0	0	1	30	1	2	0	0	14	241	0	493	2	3	892	0	0	1	820	4	1	2	10	0	0	100	0	239	0	483	231	39	2	27	0	0	200
OTU_28	1	0	0	0	3	20	0	0	0	3	0	88	0	0	0	0	0	0	2	0	5	231	0	1	12	869	1251	0	1967	0	0	0	0	1	0	0	41	2316	7	731	0	0
OTU_36	1	7	0	4	1963	1	2	71	50	0	0	0	0	136	0	0	3	1	1997	11	0	0	0	1	70	484	2412	7	709	0	10	0	0	1	0	1	42	132	202	0	0	17
OTU_67	1	1	0	0	0	0	0	0	0	0	0	1796	0	0	0	0	0	0	0	0	225	110	0	0	0	145	362	0	217	0	0	3	0	4	0	87	1	422	0	71	0	0
OTU_19	1605	14	29	22	21	443	2	5	14	407	275	484	12	13	99	8	13	410	13	7	686	1212	1069	47	6	65	18	12	0	2	4	0	95	583	125	120	15	3	19	161	14	15
OTU_27	3	2	5250	0	1	132	7950	4	0	420	0	0	777	0	0	0	0	19	1	0	0	0	3	0	35	1	0	1	1	1773	0	1164	1419	0	0	2100	6103	1	0	0	6538	0
OTU_15	919	294	832	1854	0	1154	0	1	0	848	1388	2	0	0	1427	0	1757	727	2	2052	0	0	605	740	0	0	0	3	0	3	503	0	986	0	779	517	0	0	0	1	0	1018
OTU_754	951	4	95	2	2	304	2711	0	0	143	912	0	1808	0	80	6624	5	1892	4	1	1	1	2207	165	0	1	8	36	0	744	2	1496	87	1	124	123	0	5	0	5	2512	6
OTU_202	2	22	0	2	0	0	0	10953	14	2	0	136	2	19	1	1	2	1	4	1	31	2	1	297	52	0	0	0	0	0	0	1	0	84	21	627	4	1	1	0	5	1
OTU_273	0	92	1	37	0	0	5	29	25	0	0	0	71	34	0	1	30	0	0	4	0	0	0	0	9	0	0	0	0	44	31	0	0	0	0	0	1	0	9	0	2	25
OTU_29	0	268	23	395	533	0	5	667	783	0	1	0	48	1003	85	17	308	1	322	320	0	0	1	46	679	1	243	71	176	8	226	5	19	0	75	156	797	98	833	0	8	379
OTU_46	2	69	0	1	5	0	0	2	0	1	0	41	0	0	0	0	0	0	2	0	60	1808	0	0	0	744	496	0	1131	0	0	0	2	1	0	115	2	1275	9	696	0	0
OTU_152	191	1	0	0	2	2076	6	0	0	2586	1305	0	7	0	0	2	0	358	11	0	0	0	299	2	0	0	5	21	0	1	0	0	0	0	0	0	4	10	0	0	13	0
OTU_105	1019	231	162	893	0	1126	0	0	0	888	1391	1	0	0	135	7	979	716	1	932	0	0	669	143	0	0	0	0	0	9	394	1	64	0	206	132	0	1	0	1	0	779
OTU_596	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_69	0	0	0	0	181	0	0	0	0	0	0	5	0	0	0	0	0	0	65	0	2	0	0	0	0	184	54	3	135	0	0	0	0	6	0	0	0	2	0	161	0	0
OTU_21	19	170	0	479	0	143	1	1	0	28	70	992	0	0	0	0	1588	100	6	941	1446	228	83	1	0	34	1068	3910	0	0	391	0	0	1827	0	1	0	2652	0	48	0	501
OTU_100	0	144	54	298	10	5	11	0	24	3	2	0	22	2	66	26	438	2	69	356	0	0	2	71	1	0	69	255	1	79	276	13	55	0	68	32	0	268	0	1	14	490
OTU_164	0	0	51	0	0	10	78	0	0	12	0	0	42	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	1	56	0	0	426	0	0	33	0	6	0	0	245	2
OTU_315	159	0	7	0	0	10	0	0	1	4	27	0	0	6	7	0	0	21	0	0	0	2	45	5	2	0	0	0	0	0	0	0	2	0	3	1	3	0	6	2	0	2
OTU_3	0	0	16	0	1	0	0	4427	2698	0	0	0	2	9785	0	12	0	1	38	0	0	0	0	0	11132	0	0	0	0	0	0	0	0	0	0	4	1697	0	3448	0	0	0
OTU_84	0	41	1	92	112	0	0	101	608	0	0	0	0	277	0	2	84	0	159	151	0	0	0	1	73	1	267	156	107	0	9	0	0	0	0	0	783	217	668	0	0	147
OTU_348	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	11	1	0	0	0	41	0	0	0	0	0	0	0	10	0	0	0	0	0	79	0	0
OTU_11	5	33	940	141	1217	0	3	76	106	2	5	75	1	174	2145	2	96	1	533	192	276	106	3	2891	119	648	1692	305	659	2	46	0	2194	522	2108	1144	45	209	252	202	1	53
OTU_22	3	0	1	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	298	141	0	0	0	730	2	0	3	0	0	0	0	281	0	0	0	2	0	884	0	0
OTU_44	387	12	204	240	316	506	0	0	9	544	1001	0	0	0	297	0	84	302	345	79	0	0	375	86	0	0	219	580	52	0	6	0	10	0	170	87	0	251	0	4	0	29
OTU_559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_45	22	429	3661	0	1	5024	30	2	1	128	0	272	35	0	0	6	0	753	438	1	703	1561	93	4076	72	1433	1113	0	2523	536	0	14877	7467	69	0	595	1524	28	0	1227	569	1
OTU_324	2	0	0	2	557	0	3	1	0	0	0	9	0	1	0	0	5	0	491	8	3	4	0	0	9	109	216	27	587	0	0	0	0	4	0	0	0	66	1	60	0	0
OTU_338	4	1	0	13	23	11	86	1	3	1	2	3	35	3	3	85	5	3	3	0	13	5	4	5	0	104	5	7	3	16	2	4	0	17	32	21	2	5	1	17	62	9
OTU_4	12	10502	3	0	0	79	61	1	1	5428	0	1	1	0	0	1	0	2	4	0	4	1274	0	34	0	80	0	0	61	15	0	0	534	4	0	93	2	0	0	3290	445	24
OTU_18	0	0	0	0	56	0	0	0	0	0	0	11	0	0	0	0	0	0	33	0	58	28	0	0	0	150	24	3	55	0	0	0	0	57	2	0	0	2	0	11	0	0
OTU_520	0	2	32	0	0	0	1	1	0	2	0	0	0	0	38	2	4	0	1	0	0	0	0	31	8	0	1	0	0	1	2	0	3	0	24	0	0	0	0	0	0	0
OTU_411	0	2	0	0	0	0	72	0	0	0	0	0	2237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	64	0	0	0	0	0	0	0	0	116	0
OTU_1098	56	1	302	0	2	3223	150	36	0	3405	7573	2	6	0	0	17	0	9773	4	6	0	0	5756	667	3	0	0	1	0	9	0	11	184	0	4	734	102	2	126	3	654	0
OTU_2338	13	171	29	362	4917	0	124	276	95	0	0	257	135	418	67	65	304	0	3513	170	1266	187	0	35	456	3445	2342	698	3054	385	192	20	13	2059	90	79	123	981	212	130	270	199
OTU_127	373	1	0	0	0	91	1	0	0	132	244	0	45	0	0	11	0	115	0	0	1	0	233	0	0	0	0	13	0	48	0	2	0	0	0	0	0	3	0	1	16	0
OTU_216	0	0	0	0	0	0	155	0	0	0	0	0	342	0	0	49	0	0	0	0	0	0	0	0	0	0	0	1	0	42	0	27	0	0	0	0	0	0	0	0	84	0
OTU_90	1	0	1	89	0	7	0	352	122	6	1	6	5	54	0	0	34	2	55	51	2	4	2	0	16	88	110	0	10	3	0	0	0	58	0	3	149	1	807	14	0	2
OTU_1	5	2	5516	0	0	3	773	1056	2420	9	0	1	1510	2192	4936	1964	2	1	1760	0	1	1	9	5467	984	1	92	10449	1	1576	0	879	4573	0	4236	2615	1512	6253	4375	3	1342	3
OTU_74	500	27	30	30	0	203	1	3	6	80	117	214	1	5	38	0	5	125	0	9	326	505	469	36	10	0	0	0	0	1	7	1	7	109	18	25	3	0	1	64	5	72
OTU_55	2	13	1	0	0	1	72	0	0	7	0	0	1	0	0	2	0	0	4	1	0	1	0	0	0	0	0	0	0	7	0	129	2175	0	0	2	0	1	0	3	269	0
OTU_114	60	14	0	2	10	121	92	0	0	314	57	53	19	0	1	166	10	55	25	3	40	72	39	1	0	0	14	144	4	8	11	51	0	35	1	0	0	91	0	14	207	34
OTU_119	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_64	1	4	10	1	2	2	573	0	0	3	0	0	290	0	16	934	8	7	0	1	1	1	0	7	0	0	3	2	0	175	3	164	15	0	5	9	0	0	2	0	265	0
OTU_556	0	8	9	37	1394	11	2	17	40	3	10	44	0	116	37	1	15	1	1417	41	17	9	4	15	384	296	561	118	1297	1	5	1	4	64	18	7	1	170	18	120	0	8
OTU_25	1	0	4	0	822	1	1	1149	1137	0	0	22	0	0	0	1	0	0	0	1	70	17	1	0	1477	101	213	62	548	0	0	0	1	117	0	2	528	21	1223	328	0	0
OTU_43	7	0	0	0	0	0	1	0	4	0	0	2356	1	0	0	6	0	0	0	0	1819	1582	1	0	0	1	0	0	0	230	0	6	0	1817	0	1	0	0	0	606	0	0
OTU_451	0	0	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	13	6	0	0	0	38	5	0	10	0	0	0	0	18	0	0	0	0	0	95	0	0
OTU_104	110	71	0	595	0	872	0	0	0	837	245	0	0	0	0	0	890	602	0	928	0	0	227	0	0	0	0	0	0	0	183	0	0	0	1	0	0	0	0	1	0	687
OTU_2116	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14	52	2	92	0	11	20	2085	13	5	11	84	5	2037	1	69	1869	3	174	0	2	48	39	86	224	46	7	0	9	0	2109	2	905	12	4	275	394	1	0	16	6	1857	3
OTU_536	1853	50	270	111	10	74	152	11	38	42	53	1689	829	45	284	792	102	98	7	67	1922	5260	419	306	23	45	25	22	1	515	49	106	267	1506	295	311	17	9	128	790	776	112
OTU_40	391	0	3	20	3	724	4093	0	0	404	1596	2	5963	2	15	4427	14	1262	42	10	5	0	1866	9	0	5	2	51	0	2926	0	2782	1	5	4	6	2	22	1	0	4127	0
OTU_174	1	0	0	1	0	0	3	0	0	0	0	0	644	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	27	0
OTU_545	0	196	1	720	111	0	0	207	8	0	0	7	0	117	0	1	910	0	128	1176	1	5	0	0	361	31	50	3	135	1	276	0	0	1	0	0	42	20	100	17	0	161
OTU_155	336	0	0	0	0	2	878	0	0	0	81	0	261	0	0	167	0	71	0	0	0	0	28	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	34	0
OTU_16	11	1	0	0	1509	5	2	0	1	1	5	2411	0	0	10	0	0	1	1670	0	1950	582	1	3	0	873	536	457	1082	0	1	0	2	886	2	17	0	425	0	1164	0	0
OTU_8	1	4407	0	185	0	0	0	0	0	0	0	1554	0	0	0	0	1488	0	0	439	4320	2439	0	0	0	0	4	0	0	0	13149	0	0	778	0	1	0	2	0	3703	1	5956
OTU_88	90	0	1	0	0	0	37	0	0	2	0	0	352	0	0	830	0	225	0	0	0	0	350	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	11	0
OTU_240	0	5	1	13	563	0	1	44	46	0	0	57	0	53	5	1	6	0	64	2	38	24	0	0	42	969	126	6	354	0	7	0	0	81	1	3	27	13	44	181	0	10
OTU_750	0	0	0	0	0	0	32	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	1	0	0	0	0	0	7	0	0	12	0
OTU_37	70	162	17	373	53	149	8	12	157	48	23	598	9	38	18	1	1473	222	72	1217	753	954	207	14	23	202	73	31	15	22	253	4	9	696	25	15	189	22	199	69	26	1275
OTU_204	0	0	0	0	15	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	3	0	8	0	0	0	0	8	0	0	3	0	7	113	0	0
OTU_274	181	0	70	1	229	14	0	2	28	11	10	258	1	13	73	0	2	8	79	1	25	27	56	84	10	536	391	42	37	0	0	0	121	827	111	78	59	18	78	98	0	0
OTU_3612	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	1	0	0	0	1	0	5	0	0
OTU_83	0	0	0	0	0	3	1	0	0	62	0	0	8	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	1	1	0	0	0	0	0	0	0	0	0
OTU_253	15	13	0	7	16	50	0	37	7	30	67	4	0	23	0	0	7	22	33	10	1	0	24	0	130	0	4	3	12	0	9	0	0	0	0	0	2	6	23	0	0	14
OTU_137	189	0	549	0	3	36	2	3	9	8	33	0	3	0	3395	1	0	30	0	0	4	0	23	1438	6	0	0	26	2	15	0	0	678	0	2480	2503	1	0	5	2	1	0
OTU_13	337	41	7	47	1487	641	292	5	9	239	381	790	520	12	23	409	19	551	2544	43	543	97	701	12	7	769	1005	1170	303	485	20	307	4	1438	24	29	2	809	5	20	484	59
OTU_905	272	18	29	24	177	285	8	39	946	275	133	1	27	209	13	8	1	129	170	10	2	0	122	11	82	6	185	107	26	5	6	0	4	3	47	39	178	76	440	25	3	50
OTU_157	209	0	0	0	5	501	0	1	1	407	388	61	0	0	1	0	0	311	2	0	435	339	295	0	0	7	11	5	0	2	0	0	1	110	0	0	0	3	0	293	0	0
OTU_76	166	41	31	5	27	167	58	31	317	110	34	3	140	73	45	25	14	50	38	8	0	0	33	41	34	43	20	38	110	70	27	1	12	1	88	74	163	19	255	3	52	270
OTU_35	65	49	234	172	430	90	35	158	105	67	80	904	69	209	527	39	225	71	339	176	832	235	52	179	159	486	237	239	239	48	53	15	114	559	290	594	17	102	53	241	33	38
OTU_92	1394	59	23	13	0	27	22	0	0	7	69	0	44	0	63	75	4	57	0	3	0	0	87	17	0	0	0	0	0	47	59	0	1	0	36	78	0	1	0	0	15	235
OTU_144	971	24	98	37	40	372	1	45	319	257	220	266	12	125	77	3	18	250	25	28	130	320	329	60	49	380	120	202	46	7	7	1	16	383	141	55	591	31	318	32	13	98
OTU_183	0	99	45	141	19	0	29	4	19	0	0	21	85	11	35	38	233	0	106	198	16	8	0	57	3	96	57	140	23	101	132	21	9	75	77	23	5	105	21	9	41	501
OTU_445	0	779	662	2854	1	509	4	0	0	962	1546	4	0	0	761	5	3349	50	104	6712	0	0	20	601	0	0	0	86	1	0	2978	43	88	0	1537	637	0	106	0	0	0	1066
OTU_149	30	36	58	17	41	65	24	38	124	41	44	0	10	82	195	27	9	23	18	7	0	0	41	203	39	1	59	56	19	9	11	8	232	0	431	358	43	14	144	0	24	118
OTU_103	86	0	0	0	0	367	20	0	0	371	318	0	20	0	0	5	0	185	0	0	0	0	209	0	0	0	0	1	0	13	0	5	0	0	0	0	0	1	0	0	10	0
OTU_370	240	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3187	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	6	4	0	2	0	0	0	0	0	0	0	0	1	0	6	0	0
OTU_126	2	113	442	180	393	0	2	27	517	0	0	300	834	12	390	0	441	1	2	93	17	0	0	527	8	236	928	23	420	315	10	0	198	33	501	774	232	0	38	28	616	371
OTU_258	0	1	2	1	52	0	3	1	9	0	0	0	13	6	1	4	5	0	90	5	0	0	0	1	5	0	86	107	39	22	2	4	1	0	5	0	28	56	65	0	8	18
OTU_1478	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_65	0	1731	2	138	28	0	0	57	176	0	0	0	1	131	0	0	218	1	67	258	0	0	0	0	59	4	37	41	21	0	1279	0	0	0	0	3	78	35	173	0	0	2046
OTU_309	0	123	13	204	725	0	42	137	52	0	0	16	24	172	20	38	208	0	525	147	23	1	0	12	215	76	316	111	519	26	163	1	5	104	30	37	71	108	100	1	93	173
OTU_128	0	0	0	0	0	0	9	3	0	0	0	0	436	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	9	1	3	0	0	0	1	0	4	1	0	25	2
OTU_263	1	24	2	54	14	0	5	144	36	0	2	1747	40	699	0	19	107	0	29	107	346	253	0	0	1900	2	8	1	22	96	19	87	0	66	0	1	5	3	131	95	9	16
OTU_1634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_397	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	72	40	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	25	0	0
OTU_85	467	0	0	0	0	2	208	0	0	0	0	0	39	0	0	545	0	537	0	0	0	0	770	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	91	0
OTU_472	0	73	217	32	0	34	6	0	0	141	518	0	3	0	224	6	263	0	157	10	0	0	0	88	0	0	0	22	0	43	308	692	7	0	159	52	0	43	0	0	1	44
OTU_130	0	0	0	0	0	231	0	0	0	0	78	0	0	0	0	147	0	0	0	0	0	1	0	0	0	0	0	0	1	646	0	4	0	0	0	0	0	1	0	0	1	3
OTU_521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
OTU_79	89	8	4	23	6	15	0	30	35	13	5	424	3	31	14	0	4	14	5	6	696	1000	22	7	13	26	3	7	2	0	3	0	12	569	13	13	158	3	134	137	7	24
OTU_514	0	0	0	0	0	2	128	166	0	0	0	1	29	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	73	0	2	0	2	0	0	0	0	61	0
OTU_39	0	1	0	0	0	669	8	1	0	17	216	64	38	0	0	1700	0	6	0	1	37	29	0	0	0	0	4	0	6	2950	0	391	0	84	0	0	0	1	0	11	10	8
OTU_691	2	7	99	20	273	0	23	12	158	0	0	100	25	61	151	1	7	0	34	15	53	36	1	142	33	108	226	20	695	13	3	1	36	149	166	64	322	11	72	6	25	43
OTU_187	312	0	0	0	0	25	0	0	0	21	20	0	1	0	0	0	0	9	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_172	35	1	1	5	4	70	0	0	5	185	48	1	0	0	0	0	1	24	19	0	0	1	14	0	0	92	12	14	2	0	0	0	1	5	1	0	2	15	1	1	0	1
OTU_759	0	0	3	0	0	0	11	0	0	4	0	0	1501	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	59	0	2	10	0	0	0	4	0	1	0	2	0
OTU_308	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	45	11	1	0	0	31	1	0	0	0	0	0	0	12	0	0	0	0	0	44	0	0
OTU_99	0	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	14	0	23	9	0	0	0	156	31	0	27	0	0	0	0	15	0	0	0	3	0	169	0	0
OTU_180	168	0	0	0	0	0	36	0	0	1	0	0	146	0	0	138	0	171	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	0
OTU_50	11	3	272	16	13	45	22	9	2	16	92	273	48	18	1243	32	58	97	34	31	742	303	46	362	19	15	6	92	7	34	9	13	174	104	758	677	0	13	5	80	12	0
OTU_61	0	0	0	4	0	267	0	0	0	250	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	3	0	0	0	0	0
OTU_33	0	1597	17	2942	0	0	0	0	0	0	3	0	0	0	1	0	2306	2	0	1572	0	0	0	176	0	0	0	0	1	0	2267	0	0	0	282	321	0	0	0	0	0	426
OTU_2715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
OTU_117	29	17	28	42	332	6	0	24	295	3	5	2	0	103	39	0	9	3	70	23	0	1	5	21	32	72	203	2	208	0	10	0	4	19	30	28	667	14	192	1	0	40
OTU_291	5	0	0	4	8	2	2	1	6	0	7	16	2	5	1	10	8	8	0	4	28	52	5	4	2	3	4	4	0	1	0	0	1	147	33	24	35	2	22	4	6	15
OTU_625	0	0	0	0	21	1	0	0	0	0	0	25	1	0	0	0	0	0	33	4	17	17	0	0	0	51	45	27	49	0	0	0	0	23	0	0	0	45	0	153	1	1
OTU_1206	0	4	0	0	1	0	0	0	0	0	0	101	0	0	0	0	0	0	1	0	1	51	0	0	0	114	661	0	270	0	0	0	0	0	0	0	0	781	4	7	0	0
OTU_312	2	0	0	0	0	0	0	0	0	0	0	112	0	0	0	1	0	0	0	0	70	20	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	24	0	0
OTU_115	0	0	1	0	0	0	0	988	950	0	0	0	0	1698	0	1	2	0	12	0	0	0	0	1	1341	0	0	0	0	0	0	0	0	0	0	0	570	0	569	0	0	0
OTU_191	1	4	43	0	0	0	0	456	0	0	0	0	3	8	0	3	0	1	151	0	1	0	7	3	251	0	32	1	301	3	0	0	35	0	0	45	11	840	168	0	4	0
OTU_134	268	1	0	0	0	0	163	0	0	0	0	0	141	0	0	154	0	334	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_124	208	26	2	12	1	105	0	0	0	56	34	123	12	0	1	0	15	54	0	21	31	59	91	3	0	1	0	1	0	3	15	2	1	109	0	2	0	0	2	14	0	34
OTU_131	0	487	1	55	0	0	0	49	296	0	0	0	22	94	0	15	20	0	0	33	0	0	0	0	25	0	0	0	0	9	118	0	0	0	0	0	151	0	169	0	8	1133
OTU_93	0	6	1	1	407	0	0	11	20	0	0	32	0	17	0	1	1	0	124	0	28	13	0	0	18	202	157	23	219	0	4	0	0	42	0	0	12	43	12	61	0	4
OTU_201	0	0	0	0	0	4	14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	9	0	1	5	0
OTU_206	181	0	0	0	0	0	108	0	0	1	0	0	12	0	0	204	0	131	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	14	0
OTU_361	8	17	1	26	46	21	20	8	107	21	47	1	49	10	2	24	61	13	34	36	1	3	15	4	4	1	31	36	82	60	18	9	0	3	6	1	24	16	59	0	19	75
OTU_401	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	19	2	0	3	0	0	0	0	0	0	0	0	0	0	58	0	0
OTU_129	71	21	5	12	6	107	7	3	1	136	341	0	4	0	17	26	28	490	0	7	0	0	232	4	0	0	5	4	0	2	22	6	13	0	3	2	0	0	5	1	2	11
OTU_709	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	3	2	5	0	0	0	0	0	0	0	0	1	0	6	0	0
OTU_837	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU_467	0	0	0	0	0	0	22	0	0	15	0	0	231	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	2	0	0	0	0	25	0	17	0	3	0
OTU_297	29	6	6	14	0	24	0	0	0	32	36	8	0	0	6	0	25	18	0	11	21	10	18	8	0	0	0	0	0	0	5	1	1	6	7	5	0	0	0	21	0	35
OTU_359	0	3	19	15	0	0	11	2	7	0	0	0	18	5	39	32	19	0	3	3	0	0	0	4	1	0	0	1	0	3	1	8	20	0	23	8	0	1	3	0	6	0
OTU_113	0	0	0	0	304	0	0	0	0	0	0	3	0	0	0	0	0	0	100	0	3	1	0	0	0	80	30	4	159	0	0	0	0	4	0	0	0	3	0	37	0	0
OTU_507	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	7	0	0	0	0	0	0	0	0	1	0	7	0	0
OTU_138	0	0	2	0	0	0	1676	0	0	1	0	0	37	0	0	1357	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	373	0
OTU_222	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	1	1	0	1	1	46	22	0	0	0	68	1	2	0	0	0	0	0	51	0	0	0	0	0	234	0	0
OTU_844	0	11	0	0	0	0	2	35	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	5	6	1	0	3	13	0
OTU_1612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_317	0	0	61	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	42	0	0	1	0	0	0	0	0	56	3	56	27	0	0	3	0	0	0
OTU_26	0	0	5	0	0	0	0	646	2594	0	0	0	0	2065	0	12	0	0	18	0	0	0	0	0	1617	0	0	0	0	0	0	0	0	0	0	1	395	0	543	0	0	0
OTU_148	0	0	2	0	0	0	0	72	305	0	0	0	0	344	0	0	0	0	3	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	1	41	0	83	0	0	0
OTU_261	169	0	0	0	0	18	0	3	66	9	13	0	1	4	2	1	0	13	1	0	0	0	10	0	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0
OTU_17	0	142	824	2717	14	461	1	0	2	470	926	1	1	8	311	32	564	5	1176	2028	0	2	6	840	2	0	146	630	12	27	140	384	123	0	1298	789	0	472	0	0	5	322
OTU_116	58	0	0	0	0	116	2	0	0	123	509	63	0	0	1	0	0	496	0	0	91	48	364	1	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	3	1	0
OTU_196	0	0	0	0	151	0	0	7	55	0	0	0	0	15	0	0	0	0	100	0	0	0	0	0	1	42	219	69	58	0	0	0	0	3	0	0	49	94	53	0	0	0
OTU_142	11	14	2	45	0	4	142	0	0	1	8	1	165	1	6	159	59	5	0	50	0	0	4	1	0	0	0	0	0	69	17	53	2	0	1	4	0	0	0	0	102	5
OTU_419	0	0	2	0	3	0	1	11	157	0	0	0	2	29	0	14	0	0	0	0	2	16	0	0	12	0	0	3	0	1	0	0	0	0	0	0	21	0	28	0	1	0
OTU_2174	0	0	0	68	0	0	1	2	0	0	0	0	2	0	0	0	0	0	1	0	0	13	0	0	0	23	0	1	1	0	0	0	0	0	0	130	0	0	2	16	0	0
OTU_873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
