	FS0916E	CS0908E	QQ0718E	CS0617E	JZ0701E	FS0702E	QH0615E	BJ0815E	BJ0613E	FS0617E	FS0716E	WZ0728E	QH0720E	BJ0718E	QQ0627E	QH0714E	CS0715E	FS0729E	JZ0729E	CS0701E	WZ0811E	WZ0825E	FS0819E	QQ0801E	BJ0704E	WZ0616E	JZ0715E	JZ0916E	JZ0617E	QH0803E	CS0825E	QH0817E	QQ0615E	WZ0714E	QQ0913E	QQ0815E	BJ0919E	JZ0819E	BJ0801E	WZ0915E	QH0629E	CS0917E
OTU_3232	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0
OTU_951	0	0	0	0	67	0	0	0	5	0	0	0	0	2	0	0	1	0	23	1	0	0	0	0	1	0	23	7	121	0	0	0	0	0	0	0	13	9	1	0	0	5
OTU_671	1	4	0	0	1	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	28	14	0	0	0	0	1	2	0	0	0	0	0	22	0	0	0	0	0	1	0	4
OTU_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	676	0	0	4	0	9	0	0	0	0	0	3	20	0	0	0	0	0	0
OTU_91	0	1	8	6	0	1	0	0	0	6	19	0	0	0	7	0	1	0	10	0	0	0	0	1	0	0	0	1	0	0	41	41	0	0	4	2	0	2	0	0	0	0
OTU_1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_3595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_367	0	14	0	80	13	0	0	5	4	0	0	0	0	12	0	0	56	0	25	41	0	0	0	0	2	0	18	45	1	0	34	0	0	0	0	0	10	22	33	0	0	66
OTU_3339	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	1	0	0	0	1	80	0	3	0	0	0	0	0	0	0	0	1	0	14	0	0
OTU_413	25	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	43	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2730	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2484	0	0	3	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	2
OTU_357	0	0	0	0	0	0	2	0	0	2	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
OTU_598	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	5	0	13	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU_2364	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	4	0	0	0	0	1	0	0	2	0	1	21	0	0
OTU_1953	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1560	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_517	0	0	0	0	0	121	9	0	0	1	0	0	16	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
OTU_708	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	12	2	2	1	0	0	0	0	0	0	0	0	1	0	17	0	0
OTU_696	0	0	0	0	0	3	0	0	0	3	2	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1166	0	0	5	0	0	0	0	4	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	2	0	0	2	0	0	0
OTU_1424	1	1	1	11	6	0	0	0	2	0	0	0	0	3	0	0	9	0	4	1	1	0	1	0	2	2	3	1	3	0	2	0	0	0	1	2	0	0	7	1	0	9
OTU_3301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1273	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0
OTU_2854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_706	0	2	0	22	0	0	0	13	2	0	0	0	0	15	0	0	8	0	0	5	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	41	0	14	0	0	14
OTU_724	10	0	2	0	0	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	1	0	8	1	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	0
OTU_2679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_616	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_879	5	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	1
OTU_2	0	0	19	0	0	9	1	0	0	0	0	0	0	0	0	1	0	0	9	0	0	6	0	24	1	0	6	0	25	0	0	52	11	0	0	4	1	0	0	2	3	0
OTU_205	0	0	148	0	0	0	1	32	24	0	0	0	0	35	207	0	0	0	0	0	0	0	0	97	13	0	0	0	0	0	0	0	159	0	139	49	22	0	41	0	1	0
OTU_509	18	0	4	0	0	37	0	0	0	8	26	0	0	0	6	0	0	18	0	0	0	0	24	1	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_2733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	8	0	0	0	0	0	0	0	0	1	0	3	0	0
OTU_701	6	0	0	0	0	11	1	0	0	8	3	0	1	0	0	0	0	4	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_341	0	1	35	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	5	0	62	0	1	0	1	0	0	0	0	57	0	82	20	0	1	0	4	0	0
OTU_522	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	23	0	0	32	0	1	0	0	9	0
OTU_548	0	0	0	0	0	0	11	0	0	0	0	0	64	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	9	0
OTU_371	27	0	5	7	0	20	1	0	0	12	19	2	4	0	3	6	6	9	0	4	7	5	35	5	0	0	0	0	0	13	4	0	5	5	2	1	0	0	2	0	3	15
OTU_529	0	0	0	0	0	0	2	2	99	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	25	0	45	0	1	0
OTU_2196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_617	9	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	2	0	0	1	2	2	2	0	0	51	1	1	0	0	0	0	0	22	0	0	0	0	0	1	0	0
