ZOTU_ID	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
ZOTU_5106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	11	0	0	8	5	7	26	1	0	5	2	7	16	2	0	2	0	1	3	5
ZOTU_4708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	7	0	14	0	4	0	0	0	5	0	3
ZOTU_4988	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	0	1	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	2
ZOTU_2062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
ZOTU_8165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	1	0
ZOTU_6584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	1	0	1	1	0	2	2	0	3	0	0	2	0	0	4	1	0	2	0	0	1	0	3	21	8
ZOTU_7266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0
ZOTU_3620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	2
ZOTU_622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	5	0	1	37	6	6	6	0	3	10	19	5	4	0	0	2	0	0	0	0
ZOTU_7634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
ZOTU_4498	0	0	0	0	0	0	0	0	4	2	6	1	0	1	1	1	2	0	0	1	0	0	4	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0
ZOTU_780	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	2	0	0	0	4	0	1	0	0	0
ZOTU_596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	7	0	0	7	3	0	7	0
ZOTU_3877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	7	1	2	0	0	1	4	1	1	1	1	1	3	0	0	0	0
ZOTU_3982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	4	0	2	4	0	3	19	0	0	0	6	3	17	0	1	1	9
ZOTU_4648	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	5	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	6	1	0	11	3	0	0	0	0	10
ZOTU_2618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	1	0	0	0	0	0	0
ZOTU_5288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	0
ZOTU_6632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	1	0	0	5	0	0	0	0	0
ZOTU_3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	0	0	17	5	2	11	2	0	4	0	0	10	0	0	3	0	0	8	0	0	1	0	1	1	0	0	1
ZOTU_4671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	6	0	0	1	0	3	5	2	2	14	2
ZOTU_3126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_4046	0	0	0	0	0	0	0	1	1	1	1	2	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	5	3	0	1	0	0	1	0	0	0	0	0	0	1
ZOTU_550	7	14	3	15	8	13	2	0	3	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_7460	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	6	0	0	0	2	0	3	2	3	0	0	0	2	3	3	0	0	0	3	0	0	0	1
ZOTU_275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	10	0
ZOTU_6452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	15	0	0	1	0	0	0	0	1	0	0	0	0
ZOTU_1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2
ZOTU_3868	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	1
ZOTU_6018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	2	0
ZOTU_2301	0	0	0	0	0	0	0	2	9	4	7	6	0	2	3	3	6	0	0	1	5	0	4	1	0	0	4	2	4	1	0	1	3	0	4	3	0	0	9	0	1	1	1	0	0	1	0	1
ZOTU_5047	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	5	1	0	0	8	0	3	1	4	0	3	1	0	3	1	0	3	0	6	3	4	0	0	0	0	0	4	0	0	0	0	0
ZOTU_4051	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	5	0	0	0	0	0
ZOTU_7550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0
ZOTU_1240	0	0	0	0	0	0	72	156	85	55	77	0	13	5	0	3	6	1	14	5	0	5	10	7	13	4	0	12	15	4	1	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
ZOTU_336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	17	2	0
ZOTU_1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_7206	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_3450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	1	0	0	0	7	0	4
ZOTU_6685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0
ZOTU_6795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	5	3	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0
ZOTU_2268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	6	0	0	6	0	0	12	1	5	20	1	0	5	2	18	4	0	0	3	0	1	2	2
ZOTU_6131	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	4	4	5	1	0	2	14	4	1	2	0	0
ZOTU_1988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	6	0	0
ZOTU_8128	0	0	0	0	0	0	1	5	0	9	6	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	11	0	0	0	0	0
ZOTU_1593	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ZOTU_6007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	1	2
ZOTU_6679	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	1	1	0	2	1	0	0	0	0
ZOTU_609	1	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	2	2	0	0	1	2	0	0	0	0	1	1	2
ZOTU_3095	0	0	0	0	0	0	0	0	2	1	4	1	0	8	1	5	14	2	0	2	2	2	6	1	0	4	4	10	11	2	0	6	1	0	11	4	0	2	9	1	5	3	0	0	0	0	0	6
ZOTU_5609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	1	0	5	0	2	4	5	1	9	0	0	1	0	0	1	0
ZOTU_8104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2
ZOTU_2747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZOTU_4504	0	0	0	0	0	0	0	5	8	19	3	15	0	2	1	3	1	0	0	6	3	4	0	1	0	0	3	6	1	0	0	11	2	2	0	6	0	3	2	5	0	0	0	1	0	1	0	10
ZOTU_8453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	6	0	0	1	4	3	1	0	0	1	1	1	0	0
ZOTU_5342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	3
ZOTU_5547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	3	5	0	3	0	2	2
ZOTU_7344	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ZOTU_4290	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	3	4	0	1	0	2	0	0	0	1
ZOTU_6674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0
ZOTU_2443	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	7	2	0	0	3	0	0	0	0	1	0	0
ZOTU_3884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	2	3	1	6	5	2	10	24	0	4	1	0	5	6	7
ZOTU_6639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	2	3	0	0	1	0	8	1	0	1	2	0	3	0	0	0	0	1
ZOTU_873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	3	0	0	9	0	0	1
ZOTU_4186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	6	1	1	2	1	1	7	0	1	0	1
ZOTU_7496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	7	1	0	0	9	2	5	2	0	0	2	1	3	0	0	0	13	0	4	1	1	0	9	0	0	0	0	0
ZOTU_6561	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	1	3	0	0	3	1	4	0	1	2	1	2	3	1	12	1	5	3	1	1	14	0	0	0	1	1
ZOTU_5821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	1	3	13	0	6	0	6	0	4	0	0	0	0	0	1	0
ZOTU_289	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	67	1	0	0	0	0	35	0	0	2	0	1	15	1	0	0	0	0	13	0	0	0	0	0	9	0	0	0	0	0	7	0
ZOTU_5669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	4	0	0	0	0	0
ZOTU_4742	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	16	9	0	1	0	2	0	6	0	0	0	0	5	12	0	0	0	0	2	7	0	0	1	0	0	0	2	0	0	0	2	4
ZOTU_3747	0	0	0	0	0	0	0	1	0	4	4	0	0	5	2	5	7	0	0	8	1	8	3	1	0	6	1	7	8	4	0	6	0	5	7	2	0	7	4	7	1	5	0	1	0	3	1	6
ZOTU_2313	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_202	34	28	36	28	32	29	4	1	5	6	10	7	2	2	0	1	0	0	2	1	2	1	2	0	4	6	1	0	5	0	5	4	1	1	3	0	4	0	1	3	0	0	7	0	0	0	0	3
ZOTU_7973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	4	0	0	0	0
ZOTU_6656	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	16	0	0	0	0	0	5	0	0
ZOTU_3459	0	0	0	0	0	0	0	0	6	1	1	3	0	1	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	1	1	0	0	7	0	0	5	1	0	0	0	0	0	1	0	1
ZOTU_2518	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	2	0	1	0	2	2	2	0	1	0	3	0	1	0	1	0	4	2	0	0	4	0	1	2	0	0	2	0	0	0	1	0	1
ZOTU_5010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	8	0	0	2	1	0	0	0	2	2
ZOTU_3631	0	0	0	0	0	0	0	1	2	17	21	7	0	2	0	7	4	0	0	8	3	3	5	0	0	3	0	3	4	0	0	3	0	0	7	1	0	1	2	2	2	2	0	1	0	4	0	2
ZOTU_6119	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ZOTU_6511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	3	1	0	0	0	2	2	2	0	1	0	1	0	0	0	1	2
ZOTU_5638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	3	2	0	10	0
ZOTU_4687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
ZOTU_5574	0	0	0	0	0	0	0	0	0	2	0	3	0	1	1	0	0	1	0	3	0	0	0	0	0	1	0	3	0	0	0	2	1	0	0	3	0	0	5	3	0	1	0	0	0	1	0	1
ZOTU_3702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0
ZOTU_8030	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ZOTU_6129	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	6	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	1
ZOTU_2868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ZOTU_7202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	2	1	1	0	0	13	0	0	0	0	1	11	1	0	2	2	1	9	0	1	0	10
ZOTU_395	1	1	2	3	0	3	1	36	3	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	16	0	0	0	0	0	10	1	0	0	0	1	7	0	0	0	0	2	9	0	0	0	0
ZOTU_7623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	8	0	1
ZOTU_7184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	1
ZOTU_3730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	6	0	3	0	1
ZOTU_5429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	3	0	0	0	0	0	0
ZOTU_2923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
ZOTU_4225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0
ZOTU_7232	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	3	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
ZOTU_3732	0	0	0	0	0	0	0	2	1	1	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	5	0	0	2	4	0	2	0	0	0	0	0	2
ZOTU_3109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	3	0	0	0	0	2	1	0	1	1	0
ZOTU_5016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0
ZOTU_7302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	4
ZOTU_7240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	1	0	0	0	0
ZOTU_1283	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	1	1	2	1	21	0	0	0	1	0	7	0	0	0	0	1
ZOTU_6686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	20	0	0
ZOTU_3793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0
ZOTU_1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	1	0	2	13	0	0	4	1	3	12	5	3	0	3	0	1	0	0	0	0	0	0	0
ZOTU_7303	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	2	2	0	0	1	2	0	0	1	0	0	1	0	4	5	1	0	2	0	3	0	0	0	0	0
ZOTU_2939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	2	1	1	0	2	0	0	0	0	0
ZOTU_7564	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	5	1	1	1	5	0	6	1	1	0	0	0	9	0	2	0	3	0	4	0	0	0	3	0	0	0	0	0
ZOTU_2060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZOTU_1908	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	1	1	0	0	0	1	2	1	0	0	1
ZOTU_4515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	0	0	1	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0
ZOTU_1851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	1	0	1	4	0	0	1	0
ZOTU_5596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1
ZOTU_729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	25	0	0	0	0	0	2
ZOTU_4931	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	5	1	0	2	0	0	1	1	0	5
ZOTU_214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	3	0	242	0	0	11	0	0	99	0	0	0	1	0	19	0	0	0	0	0	1	0	0	2	0	0	3	0
ZOTU_5290	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_5987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	3	2	0	1	0	0	0	0	1	1
ZOTU_8328	0	0	0	0	0	0	0	3	0	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0
ZOTU_7245	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
ZOTU_2764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1
ZOTU_2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
ZOTU_8172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
ZOTU_5701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ZOTU_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	18	9	12	28	0	3	0	1	4	0	2	1	17	8	1	3
ZOTU_981	4	5	3	4	0	8	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ZOTU_5781	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	9	0	1	2	4	0	12	2	0	0	5	1	4	0	2	1	0	0	0	0
ZOTU_2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	1
